Question,A,B,C,D,E,Answer
黄连解毒汤的功用是,辛寒清气泻火,苦寒直折火热,甘寒清热育阴,甘温益气除热,辛凉解表透热,B
银翘散的功用是,辛寒清气泻火,苦寒直折火热,甘寒清热育阴,甘温益气除热,辛凉解表透热,E
白虎汤的功用是,辛寒清气泻火,苦寒直折火热,甘寒清热育阴,甘温益气除热,辛凉解表透热,A
沙参麦冬汤的功用是,辛寒清气泻火,苦寒直折火热,甘寒清热育阴,甘温益气除热,辛凉解表透热,C
补中益气汤的功用是,辛寒清气泻火,苦寒直折火热,甘寒清热育阴,甘温益气除热,辛凉解表透热,D
心胸烦热，口渴面赤，口舌生疮者，治疗应选用,玉女煎,导赤散,六一散,黄连解毒汤,竹叶石膏汤,B
小便短赤，溲时热涩刺痛者，治疗应选用,玉女煎,导赤散,六一散,黄连解毒汤,竹叶石膏汤,B
生脉散的功用是,涩肠固脱，益气养血,温肾暖脾，涩肠止泻,益气固表，育阴除烦,滋阴泻火，固表止汗,益气生津，敛阴止汗,E
四神丸的功用是,涩肠固脱，益气养血,温肾暖脾，涩肠止泻,益气固表，育阴除烦,滋阴泻火，固表止汗,益气生津，敛阴止汗,B
当归六黄汤的功用是,涩肠固脱，益气养血,温肾暖脾，涩肠止泻,益气固表，育阴除烦,滋阴泻火，固表止汗,益气生津，敛阴止汗,D
真人养脏汤的功用是,涩肠固脱，益气养血,温肾暖脾，涩肠止泻,益气固表，育阴除烦,滋阴泻火，固表止汗,益气生津，敛阴止汗,A
牡蛎散的功用是,涩肠固脱，益气养血,温肾暖脾，涩肠止泻,益气固表，育阴除烦,滋阴泻火，固表止汗,益气生津，敛阴止汗,C
治疗前列腺炎肾阳不足证，应首选,金锁固精丸,济生肾气丸,真武汤,附桂八味丸,调元肾气丸,A
治疗前列腺增生，肾阳不足，气化无权证，应首选,金锁固精丸,济生肾气丸,真武汤,附桂八味丸,调元肾气丸,B
龟鹿二仙膏之主要功用为,益气生血,滋阴养血,双补气阴,温阳益气,双补阴阳,E
生脉散之主要功用为,益气生血,滋阴养血,双补气阴,温阳益气,双补阴阳,C
归脾汤之主要功用为,益气生血,滋阴养血,双补气阴,温阳益气,双补阴阳,A
黄芪桂枝五物汤之主要功用为,益气生血,滋阴养血,双补气阴,温阳益气,双补阴阳,D
炙甘草汤之主要功用为,益气生血,滋阴养血,双补气阴,温阳益气,双补阴阳,B
五皮饮的功用是,益气利水,温阳利水,滋阴利水,行气利水,清热利水,D
猪苓汤的功用是,益气利水,温阳利水,滋阴利水,行气利水,清热利水,C
真武汤的功用是,益气利水,温阳利水,滋阴利水,行气利水,清热利水,B
防己黄芪汤的功用是,益气利水,温阳利水,滋阴利水,行气利水,清热利水,A
六一散的功用是,益气利水,温阳利水,滋阴利水,行气利水,清热利水,E
在补中益气汤的配伍中,柴胡使用宜大剂量,柴胡使用宜中等剂量,柴胡使用宜小剂量,柴胡不宜使用,柴胡应禁用,C
在痛泻要方的加减运用中,柴胡使用宜大剂量,柴胡使用宜中等剂量,柴胡使用宜小剂量,柴胡不宜使用,柴胡应禁用,D
在大补阴丸方的加减运用中,柴胡使用宜大剂量,柴胡使用宜中等剂量,柴胡使用宜小剂量,柴胡不宜使用,柴胡应禁用,E
在小柴胡汤的配伍中,柴胡使用宜大剂量,柴胡使用宜中等剂量,柴胡使用宜小剂量,柴胡不宜使用,柴胡应禁用,A
在逍遥散的配伍中,柴胡使用宜大剂量,柴胡使用宜中等剂量,柴胡使用宜小剂量,柴胡不宜使用,柴胡应禁用,B
桑螵蛸散的功用涉及,补益肺阴,温补肾阳,健脾益气,宁心安神,滋阴柔肝,D
麦门冬汤的功用涉及,补益肺阴,温补肾阳,健脾益气,宁心安神,滋阴柔肝,A
一贯煎的功用涉及,补益肺阴,温补肾阳,健脾益气,宁心安神,滋阴柔肝,E
右归丸的功用涉及,补益肺阴,温补肾阳,健脾益气,宁心安神,滋阴柔肝,B
异功散的功用涉及,补益肺阴,温补肾阳,健脾益气,宁心安神,滋阴柔肝,C
治疗寒湿痢应首选, 胃苓汤,连理汤,芍药汤,桃花汤,驻车丸,A
治疗虚寒痢应首选, 胃苓汤,连理汤,芍药汤,桃花汤,驻车丸,D
实脾散的功用是,燥湿和胃,清热祛湿,温阳化湿,祛湿化浊,利水渗湿,C
五苓散的功用是,燥湿和胃,清热祛湿,温阳化湿,祛湿化浊,利水渗湿,E
平胃散的功用是,燥湿和胃,清热祛湿,温阳化湿,祛湿化浊,利水渗湿,A
三仁汤的功用是,燥湿和胃,清热祛湿,温阳化湿,祛湿化浊,利水渗湿,B
朱氏萆薢分清饮的功用是,燥湿和胃,清热祛湿,温阳化湿,祛湿化浊,利水渗湿,D
归脾汤的功用,健脾温阳，养血止血,健脾养心，益气摄血,补脾固冲，益气摄血,温经散瘀，养血止血,滋阴清热，固经止血,B
固冲汤的功用,健脾温阳，养血止血,健脾养心，益气摄血,补脾固冲，益气摄血,温经散瘀，养血止血,滋阴清热，固经止血,C
固经丸的功用,健脾温阳，养血止血,健脾养心，益气摄血,补脾固冲，益气摄血,温经散瘀，养血止血,滋阴清热，固经止血,E
温经汤的功用,健脾温阳，养血止血,健脾养心，益气摄血,补脾固冲，益气摄血,温经散瘀，养血止血,滋阴清热，固经止血,D
黄土汤的功用,健脾温阳，养血止血,健脾养心，益气摄血,补脾固冲，益气摄血,温经散瘀，养血止血,滋阴清热，固经止血,A
小蓟饮子的功用是,益肾滋阴，清心利水,清热泻火，利湿通淋,凉血止血，利水通淋,清热育阴利水,健脾祛湿，化气行水,C
五苓散的功用是,益肾滋阴，清心利水,清热泻火，利湿通淋,凉血止血，利水通淋,清热育阴利水,健脾祛湿，化气行水,E
猪苓汤的功用是,益肾滋阴，清心利水,清热泻火，利湿通淋,凉血止血，利水通淋,清热育阴利水,健脾祛湿，化气行水,D
导赤散的功用是,益肾滋阴，清心利水,清热泻火，利湿通淋,凉血止血，利水通淋,清热育阴利水,健脾祛湿，化气行水,A
八正散的功用是,益肾滋阴，清心利水,清热泻火，利湿通淋,凉血止血，利水通淋,清热育阴利水,健脾祛湿，化气行水,B
具有祛瘀定痛，活血止血功用的方剂是,血府逐瘀汤,复元活血汤,桃核承气汤,七厘散,生化汤,D
具有养血活血，祛瘀生新功用的方剂是,血府逐瘀汤,复元活血汤,桃核承气汤,七厘散,生化汤,E
具有破血下瘀，荡涤邪热功用的方剂是,血府逐瘀汤,复元活血汤,桃核承气汤,七厘散,生化汤,C
具有活血祛瘀，行气止痛功用的方剂是,血府逐瘀汤,复元活血汤,桃核承气汤,七厘散,生化汤,A
具有逐瘀行气，通络止痛功用的方剂是,血府逐瘀汤,复元活血汤,桃核承气汤,七厘散,生化汤,B
治疗尿浊，应首选,二妙散,八正散,疏凿饮子,程氏萆薢分清饮,薏苡仁汤,D
治疗热淋，应首选,二妙散,八正散,疏凿饮子,程氏萆薢分清饮,薏苡仁汤,B
具有温经养血，散寒通脉功用的方剂是,小活络丹,补阳还五汤,当归四逆汤,黄芪桂枝五物汤, 阳和汤,C
具有益气活血，散瘀通络功用的方剂是,小活络丹,补阳还五汤,当归四逆汤,黄芪桂枝五物汤, 阳和汤,B
具有温阳补血，散寒通滞功用的方剂是,小活络丹,补阳还五汤,当归四逆汤,黄芪桂枝五物汤, 阳和汤,E
具有益气温阳，和营通滞功用的方剂是,小活络丹,补阳还五汤,当归四逆汤,黄芪桂枝五物汤, 阳和汤,D
具有祛风除湿，化瘀通络功用的方剂是,小活络丹,补阳还五汤,当归四逆汤,黄芪桂枝五物汤, 阳和汤,A
温经汤含有,枳实、芍药,芍药、大黄,大黄、桂枝,桂枝、吴茱萸,吴茱萸、五味子,D
四逆散含有,枳实、芍药,芍药、大黄,大黄、桂枝,桂枝、吴茱萸,吴茱萸、五味子,A
四神丸含有,枳实、芍药,芍药、大黄,大黄、桂枝,桂枝、吴茱萸,吴茱萸、五味子,E
桃核承气汤含有,枳实、芍药,芍药、大黄,大黄、桂枝,桂枝、吴茱萸,吴茱萸、五味子,C
芍药汤含有,枳实、芍药,芍药、大黄,大黄、桂枝,桂枝、吴茱萸,吴茱萸、五味子,B
地黄饮子主治证病机涉及,寒热互结,正虚邪实,表里互兼,阴阳俱虚,气血同病,D
清胃散主治证病机涉及,寒热互结,正虚邪实,表里互兼,阴阳俱虚,气血同病,E
桂枝茯苓丸与大黄牡丹汤二方中均含有,石膏与知母,知母与熟地,熟地与生地,生地与丹皮,丹皮与桃仁,E
大秦艽汤与百合固金汤二方中均含有,石膏与知母,知母与熟地,熟地与生地,生地与丹皮,丹皮与桃仁,C
玉女煎与白虎汤二方中均含有,石膏与知母,知母与熟地,熟地与生地,生地与丹皮,丹皮与桃仁,A
清胃散与青蒿鳖甲汤二方中均含有,石膏与知母,知母与熟地,熟地与生地,生地与丹皮,丹皮与桃仁,D
大补阴丸与玉女煎二方中均含有,石膏与知母,知母与熟地,熟地与生地,生地与丹皮,丹皮与桃仁,B
半夏泻心汤与枳实消痞丸二方中均含有,柴胡与大黄,大黄与山栀,黄芩与黄连,黄连与干姜,干姜与制附子,D
回阳救急汤与实脾饮二方中均含有,柴胡与大黄,大黄与山栀,黄芩与黄连,黄连与干姜,干姜与制附子,E
普济消毒饮和凉膈散二方中均含有,柴胡与大黄,大黄与山栀,黄芩与黄连,黄连与干姜,干姜与制附子,C
大柴胡汤与复元活血汤二方中均含有,柴胡与大黄,大黄与山栀,黄芩与黄连,黄连与干姜,干姜与制附子,A
八正散与茵陈蒿汤二方中均含有,柴胡与大黄,大黄与山栀,黄芩与黄连,黄连与干姜,干姜与制附子,B
方中均含有桃仁与冬瓜仁的是,小青龙汤和大青龙汤,地黄饮子和桑螵蛸散,百合固金汤和大秦艽汤,苇茎汤和大黄牡丹汤,复脉汤和清燥救肺汤,D
方中均含有阿胶与甘草的是,小青龙汤和大青龙汤,地黄饮子和桑螵蛸散,百合固金汤和大秦艽汤,苇茎汤和大黄牡丹汤,复脉汤和清燥救肺汤,E
方中均含有麻黄与桂枝的是,小青龙汤和大青龙汤,地黄饮子和桑螵蛸散,百合固金汤和大秦艽汤,苇茎汤和大黄牡丹汤,复脉汤和清燥救肺汤,A
方中均含有菖蒲与远志的是,小青龙汤和大青龙汤,地黄饮子和桑螵蛸散,百合固金汤和大秦艽汤,苇茎汤和大黄牡丹汤,复脉汤和清燥救肺汤,B
方中均含有生地与熟地的是,小青龙汤和大青龙汤,地黄饮子和桑螵蛸散,百合固金汤和大秦艽汤,苇茎汤和大黄牡丹汤,复脉汤和清燥救肺汤,C
桑杏汤含有,陈皮,梨皮,地骨皮,丹皮,椿根皮,B
普济消毒饮含有,陈皮,梨皮,地骨皮,丹皮,椿根皮,A
温经汤含有,陈皮,梨皮,地骨皮,丹皮,椿根皮,D
泻白散含有,陈皮,梨皮,地骨皮,丹皮,椿根皮,C
固经丸含有,陈皮,梨皮,地骨皮,丹皮,椿根皮,E
含有沙参、麦冬的方剂是,清胃散,玉女煎,大补阴丸,左归丸,一贯煎,E
含有升麻、黄连的方剂是,清胃散,玉女煎,大补阴丸,左归丸,一贯煎,A
含有石膏、熟地的方剂是,清胃散,玉女煎,大补阴丸,左归丸,一贯煎,B
含有龟胶、鹿胶的方剂是,清胃散,玉女煎,大补阴丸,左归丸,一贯煎,D
含有知母、黄柏的方剂是,清胃散,玉女煎,大补阴丸,左归丸,一贯煎,C
痰浊壅肺型肺胀首选方,苏子降气汤,小青龙汤,六君子汤,参苓白术散,二陈汤,A
痰湿蕴肺型咳嗽首选方,苏子降气汤,小青龙汤,六君子汤,参苓白术散,二陈汤,E
痰浊壅肺型肺胀缓解期选方,苏子降气汤,小青龙汤,六君子汤,参苓白术散,二陈汤,C
百合固金汤主治,气血阴阳俱不足的虚劳肺痿,脾虚湿阻、土不生金的肺痿,虚劳久咳、气阴不足的肺痿,阴虚火旺、金水不能相生的肺痿,温燥犯肺、气阴二伤的肺痿,D
生脉散主治,气血阴阳俱不足的虚劳肺痿,脾虚湿阻、土不生金的肺痿,虚劳久咳、气阴不足的肺痿,阴虚火旺、金水不能相生的肺痿,温燥犯肺、气阴二伤的肺痿,C
参苓白术散主治,气血阴阳俱不足的虚劳肺痿,脾虚湿阻、土不生金的肺痿,虚劳久咳、气阴不足的肺痿,阴虚火旺、金水不能相生的肺痿,温燥犯肺、气阴二伤的肺痿,B
清燥救肺汤主治,气血阴阳俱不足的虚劳肺痿,脾虚湿阻、土不生金的肺痿,虚劳久咳、气阴不足的肺痿,阴虚火旺、金水不能相生的肺痿,温燥犯肺、气阴二伤的肺痿,E
复脉汤主治,气血阴阳俱不足的虚劳肺痿,脾虚湿阻、土不生金的肺痿,虚劳久咳、气阴不足的肺痿,阴虚火旺、金水不能相生的肺痿,温燥犯肺、气阴二伤的肺痿,A
脱疽血瘀证用,四妙勇安汤, 阳和汤,桃红四物汤,桂附八味丸,六味地黄丸,C
脱疽热毒证用,四妙勇安汤, 阳和汤,桃红四物汤,桂附八味丸,六味地黄丸,A
主治风邪犯肺的咳嗽证,风邪犯肺的咳嗽证,凉燥犯肺的咳嗽证,温燥犯肺的咳嗽证,风热犯肺的咳嗽证,风寒犯肺的咳喘证,A
主治凉燥犯肺的咳嗽证,风邪犯肺的咳嗽证,凉燥犯肺的咳嗽证,温燥犯肺的咳嗽证,风热犯肺的咳嗽证,风寒犯肺的咳喘证,B
主治温燥犯肺的咳嗽证,风邪犯肺的咳嗽证,凉燥犯肺的咳嗽证,温燥犯肺的咳嗽证,风热犯肺的咳嗽证,风寒犯肺的咳喘证,C
主治风热犯肺的咳嗽证,风邪犯肺的咳嗽证,凉燥犯肺的咳嗽证,温燥犯肺的咳嗽证,风热犯肺的咳嗽证,风寒犯肺的咳喘证,D
主治风寒犯肺的咳喘证,风邪犯肺的咳嗽证,凉燥犯肺的咳嗽证,温燥犯肺的咳嗽证,风热犯肺的咳嗽证,风寒犯肺的咳喘证,E
脾虚湿盛的泄泻证宜用,人参败毒散,葛根芩连汤,五苓散,藿香正气散,痛泻要方,C
内伤湿滞，外感风寒的泄泻证宜用,人参败毒散,葛根芩连汤,五苓散,藿香正气散,痛泻要方,D
阳明肠热的泄泻证宜用,人参败毒散,葛根芩连汤,五苓散,藿香正气散,痛泻要方,B
肝强脾弱的泄泻证宜用,人参败毒散,葛根芩连汤,五苓散,藿香正气散,痛泻要方,E
表证不解，外邪内陷的泄泻证宜用,人参败毒散,葛根芩连汤,五苓散,藿香正气散,痛泻要方,A
主治血虚生风证的方剂是,镇肝熄风汤,大定风珠,羚角钩藤汤,阿胶鸡子黄汤,地黄饮子,D
主治肝热动风证的方剂是,镇肝熄风汤,大定风珠,羚角钩藤汤,阿胶鸡子黄汤,地黄饮子,C
主治阴虚风动证的方剂是,镇肝熄风汤,大定风珠,羚角钩藤汤,阿胶鸡子黄汤,地黄饮子,B
主治阳亢化风证的方剂是,镇肝熄风汤,大定风珠,羚角钩藤汤,阿胶鸡子黄汤,地黄饮子,A
主治肾虚内风证的方剂是,镇肝熄风汤,大定风珠,羚角钩藤汤,阿胶鸡子黄汤,地黄饮子,E
寒湿脚气可选用,防己黄芪汤,二妙散,鸡鸣散,肾气丸,萆薢分清饮,C
风湿脚气可选用,防己黄芪汤,二妙散,鸡鸣散,肾气丸,萆薢分清饮,A
肾虚脚气可选用,防己黄芪汤,二妙散,鸡鸣散,肾气丸,萆薢分清饮,D
湿热脚气可选用,防己黄芪汤,二妙散,鸡鸣散,肾气丸,萆薢分清饮,B
寒湿脚气膏淋可选用,防己黄芪汤,二妙散,鸡鸣散,肾气丸,萆薢分清饮,E
方中不含栀子的是,茵陈蒿汤,黄连解毒汤,普济消毒饮,小蓟饮子,龙胆泻肝汤,C
方中含有竹叶的是,茵陈蒿汤,黄连解毒汤,普济消毒饮,小蓟饮子,龙胆泻肝汤,D
属于温里剂的方剂是,温胆汤,平胃散,四逆汤,桂枝茯苓丸,芍药汤,C
属于祛瘀剂的方剂是,温胆汤,平胃散,四逆汤,桂枝茯苓丸,芍药汤,D
属于清热剂的方剂是,温胆汤,平胃散,四逆汤,桂枝茯苓丸,芍药汤,E
属于祛湿剂的方剂是,温胆汤,平胃散,四逆汤,桂枝茯苓丸,芍药汤,B
属于祛痰剂的方剂是,温胆汤,平胃散,四逆汤,桂枝茯苓丸,芍药汤,A
半夏厚朴汤属于,健脾化滞剂,祛瘀消癥剂,温化痰饮剂,清热化痰剂,行气祛痰剂,E
苓桂术甘汤属于,健脾化滞剂,祛瘀消癥剂,温化痰饮剂,清热化痰剂,行气祛痰剂,C
小陷胸汤属于,健脾化滞剂,祛瘀消癥剂,温化痰饮剂,清热化痰剂,行气祛痰剂,D
枳术丸属于,健脾化滞剂,祛瘀消癥剂,温化痰饮剂,清热化痰剂,行气祛痰剂,A
鳖甲煎丸属于,健脾化滞剂,祛瘀消癥剂,温化痰饮剂,清热化痰剂,行气祛痰剂,B
四神丸属于,开窍剂,安神剂,补益剂,润下剂,固涩剂,E
济川煎属于,开窍剂,安神剂,补益剂,润下剂,固涩剂,D
复脉汤属于,开窍剂,安神剂,补益剂,润下剂,固涩剂,C
甘麦大枣汤属于,开窍剂,安神剂,补益剂,润下剂,固涩剂,B
紫雪属于,开窍剂,安神剂,补益剂,润下剂,固涩剂,A
桃核承气汤属于,汗法,下法,温剂,清剂,消法,B
杏苏散属于,汗法,下法,温剂,清剂,消法,A
温胆汤属于,汗法,下法,温剂,清剂,消法,D
当归四逆汤属于,汗法,下法,温剂,清剂,消法,C
左金丸属于,汗法,下法,温剂,清剂,消法,D
属于涩剂的方剂是,补中益气汤,朱砂安神丸,真人养脏汤,旋覆代赭汤,桑菊饮,C
属于升剂的方剂是,补中益气汤,朱砂安神丸,真人养脏汤,旋覆代赭汤,桑菊饮,A
属于降剂的方剂是,补中益气汤,朱砂安神丸,真人养脏汤,旋覆代赭汤,桑菊饮,D
属于轻剂的方剂是,补中益气汤,朱砂安神丸,真人养脏汤,旋覆代赭汤,桑菊饮,E
属于重剂的方剂是,补中益气汤,朱砂安神丸,真人养脏汤,旋覆代赭汤,桑菊饮,B
五味子和白芍在小青龙汤中是,君药,臣药,佐助药,佐制药,反佐药,D
生地在一贯煎中是,君药,臣药,佐助药,佐制药,反佐药,A
连翘在保和丸中是,君药,臣药,佐助药,佐制药,反佐药,C
黄芩在黄土汤中是,君药,臣药,佐助药,佐制药,反佐药,D
大黄在桃核承气汤中是,君药,臣药,佐助药,佐制药,反佐药,A
归脾汤组方涉及,脾肾并治,心脾并治,心肾并治,心肝并治,多脏并调,B
桑螵蛸散组方涉及,脾肾并治,心脾并治,心肾并治,心肝并治,多脏并调,C
紫雪组方涉及,脾肾并治,心脾并治,心肾并治,心肝并治,多脏并调,D
一贯煎组方涉及,脾肾并治,心脾并治,心肾并治,心肝并治,多脏并调,E
实脾散组方涉及,脾肾并治,心脾并治,心肾并治,心肝并治,多脏并调,A
攻补兼施方是,小青龙汤,半夏泻心汤,黄龙汤,地黄饮子,血府逐瘀汤,C
表里同治方是,小青龙汤,半夏泻心汤,黄龙汤,地黄饮子,血府逐瘀汤,A
气血并调方是,小青龙汤,半夏泻心汤,黄龙汤,地黄饮子,血府逐瘀汤,E
寒热并用方是,小青龙汤,半夏泻心汤,黄龙汤,地黄饮子,血府逐瘀汤,B
阴阳双补方是,小青龙汤,半夏泻心汤,黄龙汤,地黄饮子,血府逐瘀汤,D
主治证涉及阴虚燥热的方剂是,逍遥散,一贯煎,天台乌药散,暖肝煎,当归四逆汤,B
主治证涉及血虚寒滞的方剂是,逍遥散,一贯煎,天台乌药散,暖肝煎,当归四逆汤,E
主治证涉及肝肾不足，寒湿内阻的方剂是,逍遥散,一贯煎,天台乌药散,暖肝煎,当归四逆汤,D
主治证涉及气滞寒凝的方剂是,逍遥散,一贯煎,天台乌药散,暖肝煎,当归四逆汤,C
主治证涉及血虚肝郁的方剂是,逍遥散,一贯煎,天台乌药散,暖肝煎,当归四逆汤,A
与普济消毒饮主治证接近的方剂是,大黄牡丹汤,十枣汤,四逆散,回阳救急汤,仙方活命饮,E
与逍遥散主治证接近的方剂是,大黄牡丹汤,十枣汤,四逆散,回阳救急汤,仙方活命饮,C
与四逆汤主治证接近的方剂是,大黄牡丹汤,十枣汤,四逆散,回阳救急汤,仙方活命饮,D
与桃核承气汤主治证接近的方剂是,大黄牡丹汤,十枣汤,四逆散,回阳救急汤,仙方活命饮,A
与舟车丸主治证接近的方剂是,大黄牡丹汤,十枣汤,四逆散,回阳救急汤,仙方活命饮,B
参苓白术散主治证病机涉及,寒饮,痰热,食郁,湿阻,血瘀,D
越鞠丸主治证病机涉及,寒饮,痰热,食郁,湿阻,血瘀,C
苓甘五味姜辛汤主治证病机涉及,寒饮,痰热,食郁,湿阻,血瘀,A
七厘散主治证病机涉及,寒饮,痰热,食郁,湿阻,血瘀,E
温胆汤主治证病机涉及,寒饮,痰热,食郁,湿阻,血瘀,B
肾气丸可用于, 白喉,痰气互结的梅核气,肺胃阴虚燥热的肺痿,肾虚气弱的女子转胞, 内伤蓄血的如狂发狂,D
犀角地黄汤可用于, 白喉,痰气互结的梅核气,肺胃阴虚燥热的肺痿,肾虚气弱的女子转胞, 内伤蓄血的如狂发狂,E
养阴清肺汤主治, 白喉,痰气互结的梅核气,肺胃阴虚燥热的肺痿,肾虚气弱的女子转胞, 内伤蓄血的如狂发狂,A
半夏厚朴汤主治, 白喉,痰气互结的梅核气,肺胃阴虚燥热的肺痿,肾虚气弱的女子转胞, 内伤蓄血的如狂发狂,B
麦门冬汤主治, 白喉,痰气互结的梅核气,肺胃阴虚燥热的肺痿,肾虚气弱的女子转胞, 内伤蓄血的如狂发狂,C
痰火阻肺型百日咳的治疗首选方剂是,清金化痰汤,苏子降气汤,沙参麦冬汤,知柏地黄丸,桑自皮汤合葶苈大枣泻肺汤,E
百日咳恢复期肺阴亏虚证的治疗首选方剂是,清金化痰汤,苏子降气汤,沙参麦冬汤,知柏地黄丸,桑自皮汤合葶苈大枣泻肺汤,C
易与平胃散合用的方剂是,二陈汤,左金丸,玉屏风散,猪苓汤,调胃承气汤,A
易与四逆散合用的方剂是,二陈汤,左金丸,玉屏风散,猪苓汤,调胃承气汤,B
易与六味地黄丸合用的方剂是,二陈汤,左金丸,玉屏风散,猪苓汤,调胃承气汤,D
易与增液汤合用的方剂是,二陈汤,左金丸,玉屏风散,猪苓汤,调胃承气汤,E
易与桂枝汤合用的方剂是,二陈汤,左金丸,玉屏风散,猪苓汤,调胃承气汤,C
易与二陈汤合用的方剂是,白头翁汤,补中益气汤,四逆汤,四物汤,四君子汤,E
易与逍遥散合用的方剂是,白头翁汤,补中益气汤,四逆汤,四物汤,四君子汤,D
易与生脉散合用的方剂是,白头翁汤,补中益气汤,四逆汤,四物汤,四君子汤,C
易与四神丸合用的方剂是,白头翁汤,补中益气汤,四逆汤,四物汤,四君子汤,B
易与黄连解毒汤合用的方剂是,白头翁汤,补中益气汤,四逆汤,四物汤,四君子汤,A
仙方活命饮中的防风和白芷的配伍意义是,透表散邪,疏散风热,升阳散火,祛风散结,透营转气,D
银翘散中荆芥和豆豉的配伍意义是,透表散邪,疏散风热,升阳散火,祛风散结,透营转气,A
普济消毒饮中升麻和柴胡的配伍意义是,透表散邪,疏散风热,升阳散火,祛风散结,透营转气,C
清营汤中银花和连翘的配伍意义是,透表散邪,疏散风热,升阳散火,祛风散结,透营转气,E
桑菊饮中桑叶和菊花的配伍意义是,透表散邪,疏散风热,升阳散火,祛风散结,透营转气,B
小建中汤中的桂枝的主要作用是,利湿退黄,活血散瘀,清热泻火,泻下通腑,温里散寒助阳,E
麻黄汤中的桂枝的主要作用是,利湿退黄,活血散瘀,清热泻火,泻下通腑,温里散寒助阳,A
五苓散中桂枝的主要作用是,利湿退黄,活血散瘀,清热泻火,泻下通腑,温里散寒助阳,D
当归四逆汤中的桂枝的主要作用是,利湿退黄,活血散瘀,清热泻火,泻下通腑,温里散寒助阳,C
桃核承气汤中的桂枝的主要作用是,利湿退黄,活血散瘀,清热泻火,泻下通腑,温里散寒助阳,B
茵陈蒿汤中大黄的主要作用,利湿退黄,活血散瘀,清热泻火,泻下通腑,凉血止血,A
十灰散丸中大黄的主要作用是,利湿退黄,活血散瘀,清热泻火,泻下通腑,凉血止血,E
复元活血汤中大黄的主要作用是,利湿退黄,活血散瘀,清热泻火,泻下通腑,凉血止血,B
凉膈散中大黄的主要作用是,利湿退黄,活血散瘀,清热泻火,泻下通腑,凉血止血,C
大黄附子细辛汤中大黄的主要作用是,利湿退黄,活血散瘀,清热泻火,泻下通腑,凉血止血,D
柴胡在普济消毒饮中的作用是,升清阳,透表邪,疏肝气,散郁火,以上都不是,D
柴胡在补中益气汤中的主要作用是,升清阳,透表邪,疏肝气,散郁火,以上都不是,A
柴胡在四逆散中的主要作用是,升清阳,透表邪,疏肝气,散郁火,以上都不是,C
柴胡在小柴胡汤中的主要作用是,升清阳,透表邪,疏肝气,散郁火,以上都不是,B
柴胡在复元活血汤中的主要作用是,升清阳,透表邪,疏肝气,散郁火,以上都不是,C
《千金方》中主治蓄血证的方剂是,肾气丸,胶艾汤,二陈汤,犀角地黄汤,复脉汤,D
《和剂局方》中四物汤脱化于,肾气丸,胶艾汤,二陈汤,犀角地黄汤,复脉汤,B
《千金方》中主治虚劳肺痿的方剂是,肾气丸,胶艾汤,二陈汤,犀角地黄汤,复脉汤,E
《小儿药证直诀》中六味地黄丸源于,肾气丸,胶艾汤,二陈汤,犀角地黄汤,复脉汤,A
《内外伤辨惑论》中的半夏白术天麻汤源于,肾气丸,胶艾汤,二陈汤,犀角地黄汤,复脉汤,C
治疗癃闭之浊瘀阻塞证之首选方是,补中益气汤合春泽汤,清肺饮,代抵当丸,沉香散,八正散,C
治疗癃闭之脾气不升证之首选方是,补中益气汤合春泽汤,清肺饮,代抵当丸,沉香散,八正散,A
五积散与防风通圣散二方中含有的相同药物是什么？,麻黄、防风、白芷,荆芥、桔梗、枳壳,白术、厚朴、甘草,当归、川芎、芍药,大黄、干姜、肉桂,D
