Question,A,B,C,D,E,Answer
疏凿饮子与舟车丸组方配伍上的相同点是什么？,二方均治阳水实证,二方均有解表攻里的功用,二方均使用了泻下逐水药,二方均配伍了逐水药与行气药,二方均未配伍利水药,C
与温胆汤在主治和配伍用药上较为接近的方剂是什么？,蒿芩清胆汤,橘皮竹茹汤,左金丸,小柴胡汤,半夏泻心汤,A
旋覆代赭汤与橘皮竹茹汤两方中含有的相同药味是什么？,半夏、茯苓、生姜、大枣,半夏、茯苓、生姜、甘草,半夏、人参、甘草、大枣,人参、甘草、大枣、生姜,半夏、黄芩、甘草、生姜,D
苓甘五味姜辛汤和小青龙汤具有相同的功用是什么？,解表散寒,温肺化饮,宣肺平喘,健脾利湿,燥湿化痰,B
温胆汤与酸枣仁汤主治证中相同的症状有什么？,胸脘满闷,虚烦不寐,呕吐痰涎,舌苔黄腻,脉细数,B
与胶艾汤方证较为接近的方剂是什么？,温经汤,桃核承气汤,失笑散,少腹逐瘀汤,黄芪桂枝五物汤,A
苓桂术甘汤与真武汤主治的主要不同点是什么？,痰饮与水气,胸胁支满与小便不利,中阳不足与肾阳不足,脉弦滑与脉沉,心悸与肢冷,C
归脾汤与天王补心丹主治证的主要不同点是什么？,食少便溏与舌疮尿赤,心悸失眠与心烦不寐,脾虚与心虚,气血不足与阴虚火旺,心脾两虚与心肾两虚,D
苏子降气汤与定喘汤主治证的主要不同点是什么？,有无表证,痰湿与痰热,咳嗽与喘逆,有无下元不足,舌苔白腻与黄腻,B
区别使用六味地黄丸与肾气丸最重要的指征是什么？,腰膝疫软与腰膝冷痛,渴欲凉饮与渴喜温饮,小便短少与小便清长,神疲头晕与阳痿不育,舌红苔少与舌淡苔白,E
下列除哪项外，均是至宝丹的功用？,清热,开窍,通便,化浊,解毒,C
不太可能与枳实薤白桂枝汤合用的方剂是什么？,附子理中汤,二陈汤,苓桂术甘汤,清气化痰丸,丹参饮,D
可用于外科疮疡肿毒阳证的方剂有哪些？,仙方活命饮、阳和汤、荆防败毒散、四妙勇安汤、黄连解毒汤,阳和汤、荆防败毒散、四妙勇安汤、黄连解毒汤、防风通圣散,荆防败毒散、四妙勇安汤、黄连解毒汤、防风通圣散、凉膈散,四妙勇安汤、黄连解毒汤、防风通圣散、凉膈散、大黄牡丹汤,黄连解毒汤、防风通圣散、凉膈散、大黄牡丹汤、小金丹,D
可用于肠热下利的方剂有哪些？,葛根芩连汤、黄连解毒汤、升麻葛根汤、大承气汤,黄连解毒汤、升麻葛根汤、大承气汤、半夏泻心汤,升麻葛根汤、大承气汤、半夏泻心汤、大柴胡汤,大承气汤、半夏泻心汤、大柴胡汤、蒿芩清胆汤,半夏泻心汤、大柴胡汤、蒿芩清胆汤、芍药汤,A
由大黄、芒硝、甘草组成的方剂名为？,大承气汤,小承气汤,调胃承气汤,大陷胸汤,凉膈散,C
由半夏、苏叶、茯苓、厚朴、生姜组成的方剂名为？,厚朴温中汤,二陈汤,半夏厚朴汤,平胃散,实脾散,C
真武汤中白芍的主要作用是什么？,缓急，利小便,滋阴，养血,调和营卫,敛阴止汗,柔肝，熄风,A
由生附子、干姜、甘草组成的方剂名为？,四逆散,温脾汤,理中汤,四逆汤,附子汤,D
由龟板、白芍、黄芩、黄柏、香附、椿根皮组成的方剂名为？,大补阴丸,虎潜丸,玉女煎,固冲汤,固经丸,E
由柴胡、白芍、枳实、甘草组成的方剂名为？,四逆散,四物汤,痛泻要方,柴胡疏肝散,四逆汤,A
由五灵脂、蒲黄组成的方剂方名为？,六一散,左金丸,失笑散,二妙散,二陈汤,C
由桑皮、地骨皮、粳米、甘草组成的方剂名为？,泻白散,补肺阿胶汤,白虎汤,四君子汤,四神丸,A
由白术、芍药、陈皮、防风组成的方剂名为？,四逆散,痛泻要方,芍药汤,健脾丸,四物汤,B
由饴糖、桂枝、芍药、甘草、生姜、大枣组成的方剂名为？,桂枝汤,大建中汤,小建中汤,炙甘草汤,理中汤,C
外感风寒，误用泻下剂后，发热头痛，汗出恶风，鼻鸣微喘，舌苔薄白，脉沉缓者。治疗应选用？,麻黄汤,桂枝汤,麻黄加术汤,桂枝加厚朴杏子汤,石膏汤,D
便秘腹痛，胁下偏痛，发热，手足不温，舌淡苔白腻，脉弦紧，治宜选用？,三物备急丸,大承气汤,温脾汤,大黄附子汤,理中汤,D
脘腹痞胀，食少难消，大便溏薄，舌苔腻，脉虚弱，治宜选用？,枳术丸,枳实消痞丸,枳实导滞丸,木香槟榔丸,保和丸,A
温病，神昏谵语，痰甚气粗，身热烦躁，舌红苔黄腻，治宜选用？,紫雪,至宝丹,大承气汤,羚角钩藤汤,苏合香丸,B
患者恶寒卧，四肢厥冷，吐泻腹痛，口不渴，神衰欲寐，脉沉微。治疗应首选？,理中丸,肾气丸,四逆散,当归四逆汤,回阳救急汤,E
骨蒸潮热，盗汗遗精，咳嗽咯血，心烦易怒，足膝痛热，舌红少苔，尺脉数而有力，治宜选用？,清骨散,百合固金汤,大补阴丸,六味地黄丸,咳血方,C
热病后期，气阴两伤，余热未清，胃失和降，见身热汗出，渴饮少食，气逆欲呕，舌红苔少，脉虚数等。治宜选用？,竹叶石膏汤,麦门冬汤,白虎汤加人参汤,清暑益气汤,青蒿鳖甲汤,A
暑季，身热汗多，咽干口渴，体倦气短，舌红少津，脉虚细，治宜选用？,生脉散,白虎汤,自虎加人参汤,清暑益气汤,六一散,D
伤暑，发热头痛，恶寒无汗，口渴面赤，胸闷不舒，舌苔白腻，脉浮数者。治宜选用？,白虎汤,藿香正气散,新加香薷饮,柴葛解肌汤,清暑益气汤,C
往来寒热，胸胁苦满，心烦喜呕，心下满痛，大便不解，舌苔黄，脉弦数有力，治宜选用？,小柴胡汤,大柴胡汤,小承气汤,蒿芩清胆汤,四逆散,B
产后血虚受寒，恶漏不尽，少腹冷痛，治宜选用？,少腹逐瘀汤,失笑散,生化汤,当归补血汤,温经汤,C
患者一身面目俱黄，黄色鲜明，腹微满，口渴，小便不利，舌苔黄腻，脉沉数。治疗应选用？,三仁汤,茵陈蒿汤,萆薢分清饮,蒿芩清胆汤,甘露消毒丹,B
患者久病尿血，体倦乏力，气短声低，面色不华，舌质淡，脉弱。治疗应首选？,知柏地黄丸,无比山药丸,小蓟饮子,归脾汤,十灰散,D
汗出恶风，面色㿠白，舌淡苔薄白，脉浮虚软者，治宜选用？,当归六黄汤,牡蛎散,桂枝汤,玉屏风散,黄芪防己汤,D
胸胁疼痛，痛如针刺，痛处不移，舌边有淤点，脉弦涩，治宜选用？,血府逐瘀汤,桂枝茯苓丸,丹参饮,一贯煎,越鞠丸,A
患者久患水肿，水邪郁而化热伤阴，出现水邪潴留与津液亏耗并见之象。治疗应首选？,五苓散,五皮散,胃苓汤,猪苓汤,生脉散,D
肺‘肾阴虚，咳痰带血，咽喉燥痛，手足心热，骨蒸盗汗，舌红少苔，脉细数者，治宜选用？,咳血方,清燥救肺汤,百合固金汤,养阴清肺汤,六味地黄汤,C
孕妇三月，胎动出血，食少神疲，面色无华，气短乏力，舌淡苔白，脉细弱。治宜选用？,温经汤,胶艾汤,泰山磐石散,桂枝茯苓丸,肾气丸,C
治疗气虚发热的最佳选方为？,小建中汤,当归补血汤,生脉散,补中益气汤,炙甘草汤,D
治疗血虚发热的最佳选方为？,四物汤,胶艾汤,当归补血汤,归脾汤,炙甘草汤,C
患者寒热如疟，寒轻热重，口苦胸闷，干呕呃逆，胸胁胀痛，舌红苔白，脉数而右滑左弦。治疗应首选？,左金丸,小柴胡汤,逍遥散,蒿芩清胆汤,龙胆泻肝汤,D
主治脾肾虚寒五更泻的方剂是？,参苓白术散,附子理中汤,四神丸,真人养脏汤,补中益气汤,C
主治外感风邪头痛的方剂是？,镇肝熄风汤,川芎茶调散,玉真散,消风散,桂枝汤,B
风邪初中经络，舌强不能语言，手足不能运动者，治宜选用？,大秦艽汤,牵正散,天麻钩藤饮,地黄饮子,小活络丹,A
风寒感冒兼胸脘痞闷，食少纳呆，脉濡者，治疗应首选？,荆防败毒散,香苏散,杏苏散,羌活胜湿汤,三仁汤,D
患者热痢腹痛，里急后重，便下脓血，赤多白少，身热渴饮，舌红苔黄，脉弦数。治宜选用？,芍药汤,白头翁汤,龙胆泻肝汤,葛根芩连汤,半夏泻心汤,B
该证的病机为？,湿热壅滞大肠,热毒内陷下焦血分,肝经湿热下注,阳明气分肠热,燥热内结阳明,B
该证的治疗立法为？,清热化湿，调理气血,清热解毒，凉血止痢,清利肝经湿热,清肠止利,通腑泻热,B
某患者虚劳病，症见身形寒热，手心发热，口中燥渴，神疲食少，舌淡脉虚。首先考虑不被选用的方剂是？,小建中汤,炙甘草汤,当归补血汤,温经汤,大补阴丸,E
如患者兼见腹痛喜温喜按，面色无华，脉虚而细弦等，治宜选用？,香砂六君子汤,理中汤,当归补血汤,当归建中汤,大建中汤,D
如患者兼见久咳不止，咳痰夹血，心悸气短，舌淡苔光等，治宜选用？,小建中汤,百合固金汤,泻白散,补肺阿胶汤,炙甘草汤,E
某病人，患慢性痢疾五年，继发便秘，腹痛，手足不温，舌淡苔白厚，脉沉弦等证。此证应诊断为？,大肠湿热,阳虚冷积,脾肾寒湿,阳明热结,肝脾不调,B
治疗立法应为？,温阳健脾，攻下冷积,调和气血，清热解毒,温肾暖脾，固肠止泻,泻热通腑，行气导滞,健脾调肝，行气开郁,A
治疗宜选方剂是？,四神丸,温脾汤,芍药汤,小承气汤,四逆散,B
外感风寒，证候表现为恶寒发热，无汗肢冷，倦怠嗜卧，舌淡苔白，脉沉无力，且用辛温发表药汗不出。该证候应为？,少阴里寒证,风寒表虚证,风寒表实证,阳虚外感风寒证,气虚外感风寒证,D
该证治疗的立法是？,温肾散寒,助阳益气，外散风寒,解肌发汗，调和营卫,辛温发汗，宣肺平喘,祛风散寒，益气和中,B
该证治疗的应选方剂是？,败毒散,再造散,参苏饮,桂枝汤,葱白七味饮,B
患者大便下血，血色暗淡，时有吐血或衄血，面色萎黄，四肢不温，舌淡苔白，脉沉细无力。此证的病机应为？,湿热蕴结大肠，损伤血络,阳虚不能摄血，气血两虚,脾虚气陷，肠失固摄,中焦虚寒，气不摄血,阴虚火旺，迫血妄行,B
此证的治法应设为？,疏风化湿，清肠止血,健脾益气，升阳举陷,温中散寒，化瘀止血,温阳健脾，养血止血,滋阴降火，凉血止血,D
该证治疗应选方剂？,理中汤,固经汤,黄土汤,四生丸,槐花散,C
已知某方剂的组成为：白芍20g、黄芩10g、黄连10g、枳实9g、大黄9g、当归6g、肉桂3g、木香6g、甘草6g。3剂，水煎温服，日1剂，分上、下午服。与该方组成最为接近的古方是？,大柴胡汤,枳实导滞丸,小承气汤,葛根芩连汤,芍药汤,E
推测该方的功用为？,和解少阳，清泻阳明,导滞下积，清热祛湿,清泻肠热，调和气血,泻下热结，行气消痞,调和肝脾，清肠止利,C
已知本方主治腹痛下利，红白相兼，里急后重，推测其证候病机为？,湿热或热毒壅滞大肠的痢疾,燥热结滞阳明的下利,脾虚肝旺的下利,饮食停积的下利,疫毒痢,A
于某，男，60岁。二十多年来，每于冬季即发咳喘，近三年来发作频繁，甚至常年不止，痰多而白黏，纳呆脘胀，气短乏力，动则喘促自汗，以致不能参加劳动。昨日又受风寒，咳喘大作，喉中痰鸣，喘息不得卧，痰量多而色黄稠，微恶寒，无汗，苔黄厚腻，脉滑数。该病例辨证为？,内停寒饮，外感风寒,内蕴痰热，外受风寒,外感风寒，肺失宣降,外感风寒，痰湿壅肺,痰热壅肺，肺失宣降,B
治疗立法宜为？,宣肺平喘，清热化痰,外散风寒，内化寒饮,解表散寒，宣肺平喘,清泻肺热，化痰平喘,疏散风寒，燥湿化痰,A
最佳选用方剂为？,清气化痰丸,苏子降气汤,麻黄汤,小青龙汤,定喘汤,E
上例患者服药五剂，已不恶风寒，喘息大减，痰嗽见少，但仍有黄稠痰咳出，心下痞满，舌苔黄而微腻，脉滑数。此证当辨为？,痰湿壅肺,痰热互结,燥痰内结,湿热互结,痰瘀互结,B
治法应立为？,清热化痰,燥湿化痰,润燥化痰,清热祛湿,化痰逐瘀,A
治宜选用？,二陈汤,半夏泻心汤,小陷胸汤,止嗽散,瓜蒌贝母散,C
上例患者经治疗月余，咳喘已基本消失，时有咳痰，气短神疲，食少便溏，胸脘胀闷，舌淡苔白腻，脉弱。辨证当为？,脾气下陷,肺肾气虚,脾虚湿阻,气血两虚,湿阻气滞,C
治法应立为？,补脾益气，升阳举陷,健脾益气，补肾温阳,补脾益气，渗湿化痰,益气养血，健脾补肺,理气燥湿，止咳化痰,C
治宜选用？,肾气丸,补中益气汤,参苓白术散,炙甘草汤,平胃散,C
周某，男，28岁。正值冬季“流感”流行，突发高热，微恶寒，鼻涩流涕，头痛咽痛，无汗，口渴尿黄，舌尖红，苔薄黄，脉浮数。此证当辨为？,外感风寒，肺经蕴热,外感风热，肺失宣降,外感风热，卫表郁滞,外感风邪，营卫不和,燥热犯肺，肺胃津伤,C
治法应立为？,辛凉透表，清热解毒,疏散风热，宣肺止咳,发散风寒，兼清肺热,解肌发汗，调和营卫,清宣燥热，养阴生津,A
治宜选用？,桂枝汤,桑杏汤,大青龙汤,桑菊饮,银翘散,E
上例患者服用复方阿司匹林并注射青霉素，药后汗出，热度稍减，但次日体温更高，体温39.7℃，头痛加剧，身热烦躁，咳而时有喘息，汗出不畅，口渴，舌红苔黄，脉浮滑数有力。此证应辨为？,阳明热甚,肺胃津伤,邪热壅肺,营分热甚,肺热痰壅,C
治疗立法应为？,清泻胃热,清养肺胃,清营透热,清肺化痰,宣泄肺热,E
治宜选用？,白虎汤,竹叶石膏汤,清营汤,清气化痰丸,麻杏石甘汤,E
上例患者经治疗，热势稍减，但咳出腥臭脓稠黄痰，痰中夹血，胸中胀痛，大便干结，舌红苔黄腻，脉滑数。此证应辨为？,痰热阻肺，肺失宣降,肺热未清，痰瘀互结,肺热壅甚，灼伤肺络,邪热壅肺，气滞血瘀,痰瘀互结，胸阳痹阻,B
治疗立法应为？,清热化痰，宣肺平喘,清肺化痰，逐瘀排脓,清泻肺热，凉血止血,宣泄肺热，行气散瘀,化痰逐瘀，宣降肺气,B
治宜选用？,清气化痰丸,千金苇茎汤,咳血方,血府逐瘀汤,瓜蒌薤白半夏汤,B
上例患者服药三剂后，吐出大量脓痰，大便通畅，胸中舒坦，自行停药。但近几天，又觉胸中烦热，咳嗽气逆，午后皮肤蒸热，食少神疲，舌红苔薄黄，脉细数无力。此证应辨为？,肺中伏热，气阴被耗,阴虚燥热，肺失宣降,肺肾两虚，虚火灼肺,肺脾两虚，土不生金,肺阴不足，复感风热,A
治疗立法应为？,清肺止咳，养胃生津,养阴润肺，降气止咳,滋肾润肺，清降虚火,健脾益气，培土生金,补肺养阴，疏风散热,A
治宜选用？,泻白散,麦门冬汤,百合固金汤,炙甘草汤,补肺阿胶汤,A
上例患者经治疗，2周来已不发热，但咳嗽不止，语声低微，汗多气短，心悸而烦，口渴欲饮，舌红无苔，脉细微。此证应辨为？,外感燥热的肺痿,气阴两虚的肺痿,肺肾两虚的肺痿,阴阳气血俱虚的肺痿,肺脾两虚的肺痿,B
治疗立法应为？,清宣燥热，益气补肺,益气养阴，敛肺止咳,滋肾养阴，清热补肺,滋阴养血，温阳益气,健脾补肺，益气固表,B
治宜选用？,清燥救肺汤,生脉散,百合固金汤,复脉汤,玉屏风散,B
阎某，男，45岁。右手及足趾坏死剧痛约2个月。就诊前8个多月，右足因脚气破溃感染，经久不愈。近2个月来右足1、2趾均发黑坏死，右拇指甲下红肿溃烂，且有死骨外露，疼痛日益加剧，甚则痛不可忍。检查：双手1、2、3指尖溃烂腐臭，右拇指甲下红肿灼热，末节指骨外露，双侧桡动脉波动消失，右侧拇趾近跖趾关节处可见坏死溃疡，延及2趾外侧，右足背，胫后动脉搏动亦消失。舌质红绛，舌苔黄燥，脉滑数。中医诊断为“脱疽”，西医诊为“血栓闭塞性脉管炎，四肢性坏死溃疡期”。此证中医病机应辨为？,湿毒内蕴，气血两伤,火毒内炽，气滞血瘀,毒热蕴结，阴液耗伤,热入营血，血热瘀滞,痰湿瘀结，脉络痹阻,C
治疗立法应为？,祛湿解毒，益气养血,泻火解毒，行气活血,清热解毒，滋阴活血,清营凉血，散瘀止痛,化痰除湿，祛瘀通络,C
治疗宜选用？,黄连解毒汤合当归补血汤,五昧消毒饮合复元活血汤,四妙勇安汤合五味消毒饮,犀角地黄汤合仙方活命饮,阳和汤合犀黄丸,C
朱某，女，48岁。一年来心烦失眠，每于情绪激动而加重，同时伴有头晕目眩，急躁易怒，胸胁满闷，口燥咽干，舌质红，苔薄黄少津，脉弦细数。此证应辨为？,肝经湿热,肝经郁火，肝火上炎,阴虚肝旺，肝阳上亢,肝肾不足，心肝火旺,血虚肝郁，脾失健运,C
治疗立法应为？,平肝潜阳,疏肝泻火,清肝利湿,滋阴降火,疏肝健脾,A
治疗宜选用？,天麻钩藤饮,龙胆泻肝汤,六味地黄丸,泻青丸,丹栀逍遥散,A
上例患者近3个月来，失眠加重，并出现腰痰腿软，耳鸣遗精，心胸烦热，多梦健忘，大便干，小便短热，舌红苔少，脉细数。此证应辨为？,气血不足，心脾两虚,心火下移小肠,心肝火旺，火扰精室,心肾不足，阴虚火旺,肾虚精亏，膀胱湿热,D
治疗立法应为？,滋肾清热，补心安神,清肝泻火，宁心安神,清心利水,益气生血，健脾养心,补肾填精，清利湿热,A
治疗宜选用？,知柏地黄丸,导赤散,归脾汤,六味地黄丸合猪苓汤,天王补心丹,E
下列各项中，不属于“佐药”功用范畴的是,配合君、臣药加强治疗作用,消除或减弱君、臣药的毒性,针对某些次要症状发挥治疗作用,制约君、臣药的峻烈之性,针对主病起主要治疗作用,E
由逍遥散变化为黑逍遥散，属于,药味加减的变化,药量增减的变化,剂型更换的变化,药味加减和药量增减变化的联合运用,药量增减和剂型更换变化的联合运用,D
我国最早由政府组织编撰成的药典是,《金匮要略》,《肘后备急方》,《济生方》,《和剂局方》,《圣济总录》,D
由四逆汤化裁为通脉四逆汤属于,药味加减的变化,药量增减的变化,剂型更换的变化,药味加减与药量增减变化的联合运用,药味加减与剂型更换变化的联合运用,B
通常的八法不包括,补法,泻法,汗法,吐法,消法,B
与汗法无关的方剂类别是,表里双解剂,治风剂,祛湿剂,治燥剂,消食剂,E
不宜使用下法治疗的是,燥屎内结,停痰留饮,瘀血积水,宿食积滞,痞块癥瘕,E
不属于温里剂的方剂是,温脾汤,四逆汤,温胆汤,通脉四逆汤,理中汤,C
因药性峻猛，为了使其缓和发挥药效，因此作成丸剂,抵当丸,肾气丸,四生丸,金锁固金丸,朱砂安神丸,A
评价一个方剂优劣的主要依据是,药味组成的多少,方中所用药物的贵贱,药味组成、剂量、剂型、用法等均有交代,方中药物配伍与其治疗的病证病机相吻合,组方者是否是名医,D
我国目前现存最早的古代方书是,《五十二病方》,《千金方》,《成方切用》,《黄帝内经》,《普济方》,A
判定方中君药的主要依据是,方中用量最大的药物,兼有功效最多的药物,针对方证主要病机的药物,珍稀或贵重药物,无毒副作用且用量大的药物,C
与方剂学中“反佐”内容不相关的表述为,主治病证的病机涉及病重邪甚,大热病证服用大寒的方药后出现呕吐,使用与君药药性相反的药味,针对主治病证中的次要病理,药味少，药量较小,D
属于反佐药功用范畴的是,减君臣药之毒,缓和君臣药之峻,监制君臣药之偏,防止病重邪甚拒药,助君臣药之力,D
较多使用反佐药法的方剂是,补益剂和泻下剂,清热剂和温里剂,祛风剂和治燥剂,涌吐剂和开窍剂,解表剂和和解剂,B
“随证加减”通常是指,根据当前病证病机，对被选方剂中的任何部分进行的加味或减味,以当前病证与被选方方证接近为依据，对原方中的次要部分进行的加味或减味,随病证的变化而选用不同方剂,随病证的变化选配不同的药味,根据不同证情，医生不用成方而自己随机遣药组方,A
下列各项中哪项不是散剂的特点,不易变质,服用方便,吸收缓慢,节省药材,制备简便,C
临床将丸剂变为汤剂运用时，可能引起的变化不包括,产生新的功效,失去功效,作用缓急改变,功效强度改变,产生毒性,B
不宜空腹服用的是,泻下方药,补益方药,治疗病在四肢、血脉的方药,治疗病在下焦的方药,对胃肠有刺激的方药,E
较少使用丸剂的方剂类别有,补益剂,开窍剂,清热剂,消食导滞剂,化瘀消瘤剂,C
急救稀涎散属于,开窍剂,治风剂,涌吐剂,祛痰剂,泻下剂,C
解表剂不适用于,外感风寒,疮疡初起,麻疹已透,风温初起,水肿而有表证,C
开窍剂一般适用于,表邪未解，里热炽甚的神昏,阳明腑实的神昏谵语,汗出肤冷，气微遗尿的神昏,邪气壅盛，内闭心包的神昏,以上都不是,D
固涩剂可用于,阳明肠热的下利,热甚迫津的汗多,湿热下注的带下,阴虚血热的崩漏,火扰精室的遗精,E
理中丸除温中散寒外，还具有的功用是,和中缓急,降逆止呕,降逆止痛,养血通脉,补气健脾,E
不具有表里双解功用的方剂是,小青龙汤,五积散,九味羌活汤,竹叶柳蒡汤,青蒿鳖甲汤,E
下利兼有表证不宜选用的方剂是,人参败毒散,葛根芩连汤,芍药汤,香薷饮,桂枝人参汤,C
具有清泻三焦结热功用的方剂为,小承气汤,防风通圣散,石膏汤,葛根芩连汤,普济消毒饮,B
具有清利三焦湿热功用的方剂是,五苓散,猪苓汤,八正散,连朴饮,黄连解毒汤,C
具有“温化痰饮”功用的方剂是,苓桂术甘汤,二陈汤,温胆汤,瓜蒌薤白白酒汤,小陷胸汤,A
麻杏甘石汤的功用是,解表散寒，兼清里热,疏风解表，清肺泻热,辛凉宣泄，清肺平喘,辛凉透表，清热解毒,疏风泻热，宣肺止咳,C
理中丸的功用是,温中补虚，降逆止呕,温中散寒，补气健脾,温中补虚，和里缓急,温经散寒，养血通脉,温中散寒，降逆止呕,B
白头翁汤的功用是,清热解毒，凉血散瘀,清热凉血，消肿止痛,清热泻火，凉血止血,清热解毒，凉血止痢,清热化湿，涩肠止痢,D
新加香薷饮的功用是,祛暑清热,祛暑解表，化湿和中,辛温解表,祛暑解表，清热化湿,辛凉透表，解肌清热,D
生脉散的功用是,益气生津，养血复脉,益气生津，敛阴止汗,益气固表，敛阴止汗,益气固表，敛肺止咳,益气温阳，滋阴复脉,B
炙甘草汤的功用是,滋阴补肾，益气复脉,滋阴清热，养血复脉,益气养血，敛阴复脉,益气温阳，滋阴复脉,益气温阳，健脾补肺,D
一贯煎的功用是,滋补肝肾,滋阴疏肝,滋养肺胃,滋阴降火,温补肝肾,B
桑螵蛸散的功用是,温补脾肾，涩肠止泻,涩肠固脱，温养脾肾,调补心肾，涩精止遗,补脾益气，升阳止泻,补肾填精，缩尿止遗,C
旋覆代赭汤的功用是,行气散结，降逆化痰,宣肺降气，祛痰平喘,降逆化痰，益气和胃,益气清热，降逆和胃,行气开郁，化痰散结,C
定喘汤的功用是,清热解表，止咳平喘,宣肺降气，祛痰平喘,解表散寒，温肺化饮,降气平喘，温肺化饮,宣肺降气，清热化痰,E
苏子降气汤的功用是,宣肺降气，祛痰平喘,降气平喘，祛痰止咳,行气散结，宽胸散结,降气快膈，化痰消食,温化寒痰，下气消食,B
李东垣所创，主治劳倦伤脾所致的发热，称为“甘温除热法”的方剂是,竹叶石膏汤,小建中汤,补中益气汤,归脾汤,当归补血汤,C
复元活血汤的功用是,活血化瘀，消肿止痛,活血逐瘀，疏肝通络,攻下瘀血，荡涤胃肠,补血活血，化瘀生新,祛瘀活血，接骨续筋,B
温经汤的功用是,补血活血，祛瘀调经,活血祛瘀，缓消瘾块,温经散寒，祛瘀养血,温经活血，通络止痛,温经化瘀，养血通脉,C
补阳还五汤的功用是,温阳益气，散寒通脉,温经活血，行气止痛,行气活血，通络止痛,补气活血，散瘀通络,温补肾阳，强壮筋骨,D
具有缓消癥块功用的方剂是,复元活血汤与桃核承气汤,桃核承气汤与血府逐瘀汤,血府逐瘀汤与桂枝茯苓丸,桂枝茯苓丸与鳖甲煎丸,鳖甲煎丸与一贯煎,D
槐花散的功用是,清肠止血，养阴清热,清肠止血，疏风下气,清肠疏风，养血止血,益气健脾，养血止血,养阴清热，凉血解毒,B
小蓟饮子的功用是,凉血止血，清热利水,清热解毒，凉血止利,清肠止血，疏风下气,清心降火，育阴利水,清热泻火，凉血止血,A
清燥救肺汤的功用是,清燥养阴，益气补肺,滋肾润肺，清热化痰,益气养阴，敛肺止咳,养阴润肺，化痰止咳,清宣温燥，止咳化痰,A
羚角钩藤汤的功用是,平肝熄风，滋阴宁神,凉肝熄风，增液舒筋,镇肝熄风，滋阴潜阳,平肝熄风，清热活血,清热凉肝，化痰开窍,B
天麻钩藤饮的功用是,燥湿化痰，平肝熄风,滋阴养血，熄风止痉,平肝潜阳，熄风止眩,平肝熄风，清热活血,镇肝熄风，滋阴潜阳,D
地黄饮子的功用不涉及,化痰开窍,镇肝熄风,滋阴温阳,补肾,协交心肾,B
藿香正气散的功用是,宣畅气机，清热利湿,解表化湿，理气和中,温阳化气，利水渗湿,祛暑解表，清热化湿,以上都不是,B
半夏厚朴汤的功用是,行气解郁，化痰消痞,降逆化痰，消痞散结,行气散结，降逆和胃,温中散寒，除湿散满,开郁降逆，化痰散结,E
朱砂安神丸中泻火除烦的药物是,栀子,黄连,石膏,竹川,知母,B
暖肝煎的功用是,温补肝肾，行气止痛,行气疏肝，散寒止痛,行气止痛，软坚散结,温补脾肾，散寒止痛,滋肾润燥，疏肝行气,A
完带汤的功用是,健脾养血，收涩止带,补中健脾，祛湿止带,健脾补肾，收涩止带,健脾燥湿，清热止带,温养冲任，固经止带,B
