Question,A,B,C,D,E,Answer
实脾散的功用是,利水渗湿，温阳化气,温阳健脾，行气利水,解表化湿，理气和中,温阳利水,温中散寒，行气散满,B
具有宣畅气机，清利湿热功用的方剂是,平胃散,二妙散,三仁汤,八正散,五苓散,C
具有温肾益精，润肠通便功用的方剂是,增液汤,黄龙汤,麻子仁丸,济川煎,肾气丸,D
具有健脾消食，清热祛虫功用的方剂是,保和丸,肥儿丸,枳术丸,健脾丸,乌梅丸,B
枳术丸的功用是,消食和胃,健脾消痞,消食导滞,健脾和胃,行气涤饮,B
不具有解表散邪，止咳化痰功用的方剂是,桑杏汤,杏苏散,桑菊饮,止嗽散,香薷散,E
桑菊饮的主治证候为,温病邪在卫分的头痛身热，微恶风寒，无汗或有汗不多，口渴咽干，脉浮数,风温初起，风热犯肺所致但咳，身热不甚，口微渴,外感风邪，营卫不和所致头痛发热，汗出恶风，脉浮缓,肺热壅盛所致身热咳逆，气急鼻煽，脉滑数,以上都不是,B
小建中汤的主治为,中焦虚寒，自利不渴，腹痛呕吐，不欲饮食,虚劳里急，腹中时痛，喜得温按，舌淡苔白，脉弦细而缓,阳弱血虚，外受寒邪，手足厥寒，舌淡苔白，脉细欲绝,中阳虚衰，阴寒内盛，心胸中大寒痛，呕而不能食,胃中虚冷，食谷欲呕，胸膈满闷，或脘腹疼痛,B
旋覆代赭汤的主治为,脾虚胃热的食少、呕逆证,中虚痰阻的脘痞、噫气证,中虚寒热互结的脘痞、呕吐、下利证,阴虚阳亢的头眩、呕吐证,痰涎壅肺的咳嗽喘逆证,B
玉屏风散与牡蛎散相同的功用是,固表,涩肠,止遗,固冲,补肾,A
治疗痈疡肿毒阳证的代表方剂是,犀黄丸,阳和汤,小金丹,仙方活命饮,透脓散,D
可用于临床脾阳不足的肌衄证的方剂是,理中汤,四物汤,四生丸,四君子汤,七厘散,A
桂枝汤的组成药味是,桂枝、麻黄、杏仁、甘草、生姜,桂枝、芍药、生姜、大枣、人参,桂枝、芍药、生姜、大枣、大黄,桂枝、生姜、大枣、甘草、杏仁,桂枝、芍药、生姜、大枣、甘草,E
麻子仁丸的组成中不含,枳实,厚朴,大黄,芒硝,芍药,D
理中丸的组成药味是,干姜、白术、人参、甘草,人参、白术、茯苓、甘草,干姜、白术、茯苓、甘草,附子、干姜、白术、甘草,蜀椒、干姜、人参、饴糖,A
四物汤的组成药味是,生地、赤芍、当归、川芎,熟地、白芍、当归、川芎,生地、熟地、白芍、当归,熟地、赤芍、当归、川芎,熟地、阿胶、当归、川芎,B
五苓散的组成药味是,五加皮、茯苓、白术、陈皮、大腹皮,茯苓、猪苓、白术、泽泻、桂枝,茯苓、猪苓、泽泻、滑石、阿胶,猪苓、泽泻、白术、桂枝、甘草,泽泻、白术、猪苓、茯苓、茵陈,B
三仁汤中的“三仁”是指,杏仁、桃仁、郁李仁,火麻仁、杏仁、桃仁,杏仁、蔻仁、薏苡仁,桃仁、冬瓜仁、薏苡仁,松子仁、柏子仁、胡麻仁,C
二陈汤的组成药味是,半夏、茯苓、陈皮、甘草、生姜、乌梅,人参、白术、茯苓、甘草、半夏、陈皮,半夏、茯苓、陈皮、甘草、枳实、竹茹,苍术、厚朴、陈皮、甘草、半夏、茯苓,半夏、厚朴、苏叶、生姜、茯苓,A
四妙勇安汤的组成药味是,银花、连翘、麦冬、甘草,银花、生地、栀子、甘草,银花、元参、当归、甘草,银花、丹皮、赤芍、甘草,银花、白芷、防风、黄芪,C
小建中汤中配伍芍药的意义是,益阴养血，柔肝缓急,养阴复脉，柔肝缓急,益气养阴，缓急止痛,益气养血，复脉定悸,养阴补血，活血通脉,A
天台乌药散的组成中不含,巴豆、川楝子,青皮、槟榔,当归、肉桂,小茴香、木香,良姜、乌药,C
独活寄生汤的组成中不含,秦艽、防风、细辛,杜仲、牛膝、肉桂,人参、茯苓、甘草,地黄、芍药、川芎,羌活、白术、续断,E
养阴清肺汤的组成中不含,丹皮、芍药,元参、生地,贝母、薄荷,麦冬、甘草,桔梗、杏仁,E
血府逐瘀汤的组成中不含,桃仁、红花、川芎,当归、生地、甘草,柴胡、赤芍、牛膝,桔梗、枳壳,香附、丹皮,E
乌梅丸的组成中不含,黄连、黄柏,细辛、干姜,使君子、槟榔,附子、桂枝,川椒、当归,C
组成中不含牛膝的方剂是,济生肾气丸,玉女煎,济川,镇肝熄风汤,清胃散,E
组成中不含人参、大枣、甘草的方剂是,小柴胡汤,半夏泻心汤,旋覆代赭汤,保和丸,橘皮竹茹汤,D
组成中含有苦寒清热药的方剂是,羚角钩藤汤,天麻钩藤饮,阿胶鸡子黄汤,大定风珠,紫雪,B
小青龙汤中主治外寒的主要配伍药味是,麻黄、桂枝、细辛,桂枝、芍药、甘草,芍药、细辛、五味子,干姜、细辛、半夏,干姜、细辛、麻黄,A
至宝丹的功用是,化瘀开窍，解毒辟秽,豁痰开窍，化浊解毒,化痰开窍，熄风止痉,芳香开窍，解毒辟秽,清热开窍，化浊解毒,E
辛凉解表剂中有时配伍少量辛温解表药，其目的在于,发散风寒,助透表邪外出,解肌发汗,监制方中寒凉，以防凉遏,通络止痛,B
解表透疹方的结构一般不包括,透疹药物,解表散邪,清热解毒,养阴生津,凉血止血,E
左归丸与一贯煎相同的功用是,滋阴,疏肝,补脾,降火,养血,A
止血剂组方中较少伍用,理气药,养血药,活血药,清热药,益气药,A
温里剂组方中，最常与温里药配伍的是,滋阴药,解表药,活血药,补气药,固涩药,D
固涩剂组方中，最常与固涩药配用的是,清热药,温里药,泻下药,利湿药,补益药,E
祛痰剂组方中较少配用,补益药,祛湿药,理气药,清热药,温里药,A
理中汤中的君药是,人参,干姜,白术,甘草,以上均不是,B
一贯煎中的君药是,枸杞子,地黄,麦冬,沙参,川楝子,B
人参败毒散中的君药是,羌活、独活,前胡、柴胡,人参、茯苓,桔梗、枳壳,川芎,A
大枣在十枣汤中是,君药,臣药,君药和佐药,佐药,使药,D
半夏泻心汤所治心下痞是由何因所致,太阳病误下,少阳病误下,阳明病下之过早,阳明病应下失下,太阳病大下后，复发汗,B
苓桂术甘汤与真武汤主治的主要不同点为,痰饮与水气,胸胁支满与小便不利,中阳不足与肾阳不足,脉弦滑与脉沉,心悸与肢冷,C
苏某，女，45岁。素体虚弱，容易感冒。10年前因感冒发生咳喘，近2年来发作频繁，痰色白清稀多泡沫。昨天遇冷着凉，咳喘又发，痰多稀白，胸闷不舒，发热头痛，恶寒无汗。舌苔白滑，脉浮紧。此证应辨为,风寒束表，肺失宣降,内停寒饮，外感风寒,外感风寒，痰湿内阻,痰湿壅肺，肺气不降,外感风寒湿，内停痰浊,B
治疗立法应为,发散风寒，温肺化饮,辛温发汗，宣肺平喘,发散风寒，除湿化痰,燥湿化痰，降肺平喘,散寒除湿，化痰降浊,A
治疗宜选用,三拗汤,麻黄汤,苏子降气汤,定喘汤,小青龙汤,E
上例患者服药三剂，表证已解，喘逆渐平。但时有咳嗽，吐出清稀痰涎，身形畏寒，头面部微肿，食少神疲，舌质淡，舌苔白滑，脉虚弦而迟。此证应辨为,脾胃气虚，运化无能,肺脾气虚，痰浊中阻,肺脾阳弱，寒饮内停,脾虚不运，痰湿内停,脾肾阳虚，寒湿内停,C
治疗立法应为,补肾健脾，温化寒湿,温阳健脾，化饮止咳,益气健脾，养胃和中,健脾益气，化痰除湿,健脾补肺，理气化痰,B
治疗宜选用,实脾散,四君子汤,六君子汤,苓甘五味姜辛汤,参苓白术散,D
林某，男，32岁。嗜食辛辣，经常牙龈肿痛，大便秘结。今牙痛又犯，口臭，牙龈红肿连及面颊，心胸烦热，渴喜凉饮，舌质红，苔黄，脉洪数有力。此证应辨为,胃中伏火，循经上灼,少阴不足，阳明火旺,温病阳明气分热甚,心脾积热,脾胃湿热,A
治疗立法应为,滋肾壮水，清胃泻火,清泻心脾积热,清泻胃火，凉血消肿,清热泻火，生津除烦,清热化湿，醒脾和中,C
治疗宜选用,玉女煎,泻黄散,清胃散,白虎汤,甘露消毒丹,C
上例患者自服牛黄清胃丸而缓解，但未能坚持治疗。近半月来，头晕目眩，胃脘灼痛，胁肋隐隐作痛，饮食减少，咽干口燥，大便秘结，舌红苔少，脉细数而弦。此证应辨为,肝郁脾虚，肝脾不调,胃热伤阴，阴虚肝滞,肝郁化火，肝胃不和,胃阴不足，虚火内炽,胃肠燥热,B
治疗立法应为,养血疏肝，健脾助运,清泻肝火，降逆和胃,滋阴养胃，清热降火,滋阴润燥，舒肝和胃,清泻阳明燥热,D
治疗宜选用,调胃承气汤,一贯煎,逍遥散,左金丸,大补阴丸,B
赵某，男，54岁。患者体胖，一年来时有胸中憋闷，累则加重，休息得缓解。昨日因天气骤冷，胸痹复发，胸中憋闷而胀痛，舌淡胖，苔白腻，脉弦迟。此证应辨为,痰浊内结，痹阻胸阳,脾虚不运，痰浊内阻,脾阳不足，寒湿中阻,阳虚血弱，寒滞经脉,心肾阳虚，寒饮犯肺,A
治疗立法应为,温补阳气，温化寒饮,通阳散结，行气祛痰,温经养血，散寒通脉,温中散寒，益气健脾,健脾助运，化痰降浊,B
治疗宜选用,四逆汤,当归四逆汤,瓜蒌薤白白酒汤,理中汤,苓桂术甘汤,C
上例如患者伴有心前区刺痛，舌质紫暗，脉细而涩，治疗宜选配,失笑散,复元活血汤,小活络丹,桂枝茯苓丸,金铃子散,A
上例患者未能坚持治疗，继发气短，心悸。近日来胸痛心悸，发作频繁。现心中悸动不宁，气短神疲，舌质淡苔少，脉细弱，动而一止，不能复还。此证应辨为,肺脾不足，气虚血瘀,心阳不足，神失所养,气血不足，心脾失养,心肾两虚，水火失交,阴血不足，气虚阳弱,E
治疗立法应为,调补心肾，协交水火,温通心阳，宁神定悸,益气健脾，补血养心,健脾补肺，活血散瘀,滋阴养血，益气温阳，复脉定悸,E
治疗应选用,桑螵蛸散,朱砂安神丸,归脾汤,炙甘草汤,补阳还五汤,D
孙某，男，8岁。近日来口舌生疮，并觉心烦，口渴，尿黄，尿道灼热感，舌嫩红，舌苔薄黄，脉数。此证应辨为,阴虚火旺,阳明胃热,脾胃湿热,心火亢旺,下焦湿热,D
治疗立法应为,清心利尿,清泻胃火,清热化湿,清利湿热,滋肾降火,A
治疗宜选用,知柏地黄丸,清胃散,茵陈蒿汤,八正散,导赤散,E
上例患儿服用清热泻火药后，舌疮、口渴已解。唯心烦、尿热不除，伴有腰膝疫软，手足心热，夜间尤觉咽干，但不欲多饮，舌红苔少，脉细数。此证应辨为,肾阴不足，阴虚内热,肝肾两亏，阴虚阳亢,阴分伏火,肺肾两虚，虚火上扰,心肝火旺,A
治疗立法应为,滋阴透热,滋肾清热,滋阴潜阳,滋养肺肾,清心泻肝,B
治疗宜选用,青蒿鳖甲汤,六味地黄丸,天麻钩藤饮,黄连解毒汤,杞菊地黄丸,B
朱某，女，23岁。3年来，月经常提前而至，每次行经需10余日才止，量多色淡，皮肤经常出现紫斑，并觉头晕眼花，心悸气短，失眠多梦，食欲减退，精神不振，皮肤枯涩，面色萎黄，身体消瘦，舌淡苔薄，脉细弱。此证应辨为,心肾两虚，阴虚火旺,肝肾不足，阴虚阳亢,肝阴血虚，心神失养,血虚肝郁，脾虚不运,气不摄血，心脾两虚,E
治疗立法应为,益气养血，健脾疏肝,滋养心肾，清降虚火,滋养肝肾，平肝潜阳,滋阴养血，清热除烦,益气摄血，补脾养心,E
治疗宜选用,酸枣仁汤,大定风珠,天王补心丹,归脾汤,逍遥散,D
如患者月经又至，量多不止，腰膝俊软，脉微细，可选用,固经汤,补中益气汤,固冲汤,大补阴丸,归脾汤,C
钱某，女，25岁。患者平素沉默少言，虽有不快，亦郁闷心中。近半年来常感胸胁部隐隐作痛，胸闷，善太息，情志抑郁，饮食减少，脘胀不适，月经量少，时有发热或恶寒，舌淡苔薄白，脉细弦。此证应辨为,肝郁气滞，营卫不和,肝郁脾虚，气滞血瘀,肝郁血虚，肝脾不调,肝郁化热，脾虚湿阻,脾虚不运，肝郁气滞,C
治疗立法应为,行气疏肝，调和营卫,疏肝健脾，行气活血,疏肝清热，健脾养胃,健脾助运，行气疏肝,养血疏肝，健脾和营,E
治疗应选用,归脾汤,四逆散合桂枝汤,柴胡疏肝散,小柴胡汤,逍遥散,E
如患者兼有急躁易怒，心胸烦热，舌红苔黄，脉细弦数等证。其病机为,肝郁化火,肝阳上亢,心火上炎,血虚燥热,阴虚火旺,A
治疗宜在选方中加用,地骨皮、青蒿,丹皮、山栀,黄芩、黄连,知母、黄柏,熟地、鳖甲,B
武某，女，28岁。白带量多已两年。带下色白清稀，无味，连绵不断，口淡食少，腹胀便溏，身疲乏力，面色萎黄，舌淡苔白，脉弱左关部微弦。该患者证候病机当为,脾虚肝郁，湿浊下注,脾肾两虚，冲任不固,肝脾不调，湿热下注,脾虚气弱，清阳下陷,血虚肝郁，脾虚不运,A
治疗立法应为,调和肝脾，清利湿热,健脾舒肝，祛湿止带,健脾益气，升阳举陷,温阳脾肾，固摄冲任,养血疏肝，健脾助运,B
治疗本证最无可能被选的方剂是,补中益气汤,参苓白术散,五苓散,四物汤,香砂六君子汤,D
治疗最宜选用的方剂是,固冲汤,易黄汤,补中益气汤,完带汤,逍遥散,D
如患者兼有腰膝疫软，随证方剂中则不宜加用,菟丝子和枸杞子,杜仲和牛膝,龟板和知母,桑寄生和狗脊,桑螵蛸和莲子,C
归脾汤中的君药是,炙甘草,人参,黄芪,当归,陈皮,C
越鞠丸中的君药是,山栀,川芎,香附,神曲,苍术,C
镇肝熄风汤中的君药是,龟板、玄参,天冬、麦冬,牛膝、代赭石,芍药、川楝子,龙骨、牡蛎,C
清燥救肺汤中的君药是,人参、麦冬,石膏、桑叶,枇杷叶、杏仁,胡麻仁、阿胶,甘草、人参,B
六味地黄丸中针对少阴的补泻配伍药对是,熟地黄与泽泻,泽泻与山萸肉,山萸肉与丹皮,丹皮与茯苓,茯苓与山药,A
含有黄芪、穿山甲的方剂是,小活络丹,复元活血汤,透脓散,阳和汤,仙方活命饮,C
温经汤中含有,干姜、细辛,炮姜、附子,吴茱萸、桂枝,生地、熟地,桃仁、红花,C
不含甘草的方剂是,当归四逆汤,桂枝汤,四逆散,黄芪桂枝五物汤,小建中汤,D
不含有麝香的方剂是,苏合香丸,回阳救急汤,至宝丹,安宫牛黄丸,阳和汤,E
含有罂粟壳的方剂是,止嗽散,四神丸,固冲汤,真人养脏汤,金锁固精丸,D
当归用量独重的方剂是,当归补血汤,四物汤,补阳还五汤,生化汤,血府逐瘀汤,D
完带汤中用量较大的药昧为,人参、苍术,苍术、白术,白术、山药,山药、白芍,白芍、柴胡,C
补阳还五汤中黄芪与方中其他活血药配伍最接近的比例是,1：1,2：1,3：1,4：1,5：1,E
具有补气生血功用的方剂是,四君子汤,参苓白术散,当归补血汤,补中益气汤,生脉散,C
炙甘草汤中用量最大的药味是,炙甘草,桂枝,大枣,地黄,阿胶,D
旋覆代赭汤中用量不宜大的药味是,旋覆花,代赭石,半夏,人参,大枣,B
原方黄芪用量约10倍于其他药物的方剂为,补中益气汤,补阳还五汤,泰山磐石散,黄芪桂枝五物汤,防己黄芪汤,B
麻杏石甘汤中用量最大的药味是,麻黄,杏仁,石膏,甘草,以上均不是,C
枳实薤白桂枝汤中，具有通阳散寒、降逆平冲作用的药用是,枳实,薤白,桂枝,厚朴,瓜蒌,C
麦门冬汤中麦冬与半夏的配伍比例为,1：1,2：1,5：1,7：1,10：1,D
仙方活命饮中用量大的药味是,白芷与防风,乳香与没药,银花与陈皮,赤芍与当归尾,穿山甲与皂角刺,C
方剂配伍中的“寒热并用”是指,针对病证中的寒热假象采用的反佐药法,针对君臣药的寒热偏性采用的佐制药法,针对病证中的寒热并存的病理采用的寒热兼顾的配伍,根据某些药物的特殊配伍功能而采用的寒热异性配伍,以上都不是,C
败毒散中作用少量人参的意义是,益气补虚,益气固表,扶正祛邪,补气生津,以上都不是,C
痛泻要方中配伍防风的主要意义是,发散肌中风湿,升发脾中清阳,散肝舒脾升清,祛风解痉止痛,疏散肠中风邪,C
犀角地黄汤中丹皮、赤芍的主要配伍意义是,清热凉血,活血散瘀,凉血散瘀,凉血解毒,凉血止血,C
清营汤中具有“透热转气”作用的主要药味是指,犀角与地黄,地黄与丹参,银花与连翘,黄连与麦冬,元参与竹叶,C
龙胆泻肝汤中配用生地、当归的意义是,滋阴养血,养血化瘀,补血止血,滋肾养肝,以上都不是,A
升麻在升麻葛根汤中的作用不涉及,解肌散邪,透疹,清热解毒,阳明引经,升阳举陷,E
苇茎在苇茎汤中的主要作用是,清泻肺热,生津止渴,化瘀排脓,利湿祛痰,和胃止呕,A
补中益气汤中君用黄芪，其作用不涉及,固表止汗,补气升阳,补气散邪,补气行水,补气健脾,D
与五苓散中桂枝配伍作用不相关的项是,解表散邪,平冲降,温阳化气,活血通脉,温经止痛,D
地龙在补阳还五汤中主要配伍意义是,清热平喘,利水消肿,活血通络,止痉熄风,以上均不是,C
当归补血汤中重用黄芪为君，意在,补气健脾,益气固表,补气生血,补气活血,益气升阳,C
阳和汤中配伍麻黄的意义在于,发散风寒,宣通阳气,宣肺平喘,利水,止汗,B
温经汤中配伍半夏的意义在于,燥湿化痰,和胃止呕,消痞散结,降逆化痰,通降阳明,E
苏子降气汤中配伍当归和肉桂的意义是,温肾纳气,养血补肝,温补下虚,祛痰止咳,温肾祛寒,C
补阳还五汤重用黄芪为君的意义在于,益气固表,益气补血,补气活血,益气固脱,健脾利水,C
生化汤中重用当归为君的意义在于,温经化瘀,温经止痛,补血活血,养血润燥,活血调经,C
柴胡在复元活血汤中的配伍意义不涉及,散邪透热,疏利肝胆,行气止痛,少阳、厥阴引经药,升清降浊,A
麦门冬汤中配伍半夏的意义在于,和胃降逆,降逆化痰,化痰散结,散结除痞,燥湿化痰,B
具有“滋阴透热”功用的药对为,银柴胡与胡黄连,石膏与知母,生地与元参,丹皮与柴胡,青蒿与鳖甲,E
具有“温阳化气行水”功用的药对是,附子与白术,白术与桂枝,桂枝与茯苓,茯苓与泽泻,泽泻与生姜,C
逍遥散中体现治肝“体用兼顾”的药对是,柴胡与白芍,白芍与当归,当归与白术,白术与茯苓,茯苓与薄荷,A
乌梅丸中体现“安蛔”法的配伍特征为,温清互用,补泻并用,以驱虫药为君,“酸苦辛”并用,佐用散寒止痛药,D
下列方剂中不含栀子的是,茵陈蒿汤,八正散,凉膈散,龙胆泻肝汤,仙方活命饮,E
桂枝汤中体现“调和营卫”的主要配伍药对是,桂枝与甘草,芍药与甘草,桂枝与芍药,芍药与大枣,桂枝与生姜,C
温阳通便，泻下寒积的常用配伍药对是,甘草与芒硝,附子与大黄,巴豆与桔梗,大黄与芒硝,桂枝与大黄,B
半夏白术天麻汤中主治风痰眩晕头痛的核心药对是,半夏、白术,半夏、天麻,天麻、白术,半夏、橘红,白术、茯苓,B
药味配伍中的“酸甘合化”的主要功用是,扶助阳气,滋助阴液,滋阴养血,生津止渴,固表敛汗,B
药味配伍中的“辛甘合化”的主要功用是,温补阳气,资助肾阳,扶助阳气,温通心阳,滋阴助阳,C
药昧配伍中的“苦辛并用”的主要功用是,除湿散满,升降气机,散结化痰,消食化滞,健脾和胃,B
清胃散中具有“升阳散火”作用的药味是,黄连,升麻,丹皮,当归,生地,B
玉女煎中具有“引火下行”作用的药味是,熟地,石膏,知母,麦冬,牛膝,E
平肝熄风方中常用的“柔肝荣筋，缓急解痉”药对是,阿胶与甘草,白芍与甘草,生地与甘草,麦冬与甘草,五味子与甘草,B
具有“健脾益气，祛风利水”功用的药对是,黄芪与白术,白术与茯苓,茯苓与桂枝,桂枝与防己,防己与黄芪,E
麻黄汤证与桂枝汤证的主要区别是,恶寒与恶风,喘逆与鼻鸣干呕,无汗与有汗,脉浮紧与浮缓,风寒表实与风寒表虚证,E
脾约丸主治阳明燥结便秘证，伴随的特征性症状为,口中燥渴,腹中满痛,小便数多,小便短少,脉浮数,C
芍药汤与白头翁汤的组成中均含有的药物是,黄芩,黄连,黄柏,大黄,秦皮,B
主治证中以“皮肤蒸热”为特征的方剂为,麻杏石甘汤,清营汤,银翘散,泻白散,青蒿鳖甲汤,D
与黄土汤中的便血症状无关的项是,远血,慢性长期大便隐血,下血色淡,下血色暗,下血色鲜红,E
与玉液汤主治证病机不符的症状是,口渴欲饮,小便短少,饮不解渴,气短神疲,脉细无力,B
养阴清肺汤主治证病机为,肺肾阴虚，虚火内炽,肺胃阴虚，虚火上炎,肝肾阴虚，虚火上炎,肺肾阴虚，复感疫毒,燥热伤肺，气阴两亏,E
麦门冬汤主治证候的病机主要涉及的脏腑是,心与肺,肺与胃,胃与脾,脾与肾,肾与肝,B
归脾汤主治证病机涉及的主要脏腑是,肺与脾,脾与心,心与肾,肾与脾,脾与肝,B
清营汤的功用是,清营养阴，凉血散瘀,清营养阴，宁心安神,清营凉血，养阴生津,清营透热，养阴活血,清营解毒，透热转气,E
玉女煎主治证病机涉及的主要脏腑是,阳明与少阴,少阴与厥阴,厥阴与太阴,太阴与少阴,少阴与太阳,A
吴茱萸汤主治证候不涉及,阳明寒呕,少阴寒甚下利,厥阴寒逆头痛,中焦虚寒，肝胃不和,少阴亡阳厥逆,E
玉液汤主治消渴病，其病机为,肺胃阴虚燥热,肾阳不足，蒸化无能,肺脾肾气虚，不能生布固摄津液,阳明胃热灼津,肝肾不足，阴虚火旺,C
清营汤证中不应包括,时有谵语,身热夜甚,舌绛苔少,烦渴引饮,斑疹隐隐,D
与龙胆泻肝汤主治不适应的是,妇女湿热带下,湿热下注之淋浊阳痿,肝火上炎之耳鸣耳聋,肝火内炽的胸胁灼痛,阴虚阳亢的头痛目眩,E
镇肝熄风汤的病机不涉及,肝肾阴虚,肝阳偏亢,肝风内动,肝气郁结,气血逆乱,D
保和丸不宜用于,饮食停滞的胃脘痛,饮食停滞的泄泻,饮食停滞的恶心呕吐,脾虚食滞的脘痞不食,饮食不节的嗳腐厌食,D
脾胃为寒湿所困，气机阻滞者，宜选用,藿香正气散,厚朴温中汤,连朴饮,天台乌药散,半夏厚朴汤,B
原方用法中要求服药“自小量始”的是,大承气汤,麻子仁丸,四逆汤,桂枝汤,白虎汤,B
符合大承气汤煎制方法的正确项是,先枳实、厚朴，继大黄，后芒硝,先枳实、厚朴，继芒硝，后大黄,先枳实、大黄，继厚朴，后芒硝,先厚朴、大黄，继芒硝，后枳实,先枳实、芒硝，继厚朴，后大黄,A
使用十枣汤时应,方中诸药味同煎,先煎大枣，再入煎其余药味,先煎大戟、芫花、甘遂，后入大枣,煎大枣取汤，余药味另研散，送服,先煎大戟、芫花，再入大枣，甘遂另研散送服,D
镇肝熄风汤组成药味中,全部药味均需要炮制,全部药味均用生品,龟板需炙，代赭石需煅,龙骨和牡蛎需煅,麦芽和川楝子需炒,B
六味地黄丸配伍涉及的“三阴并治”，其中三阴涉及的脏腑是,肺、脾、肾,脾、肾、肝,肾、肝、心,心、肺、脾,肺、脾、肝,B
以“辛开苦降、寒热并用”为配伍特征的方剂是,麻黄汤,四逆散,半夏泻心汤,苓桂术甘汤,苏子降气汤,C
不含有“培土生金”配伍原理的方剂是,泻白散,白虎汤,补肺阿胶汤,炙甘草汤,参苓白术散,B
组方涉及“泻木清金”原理的方剂是,龙胆泻肝汤,咳血方,泻青丸,四逆散,黄连解毒汤,B
百合固金汤的主治证候中常见,咳痰带血,干咳无痰,咳痰黄稠,咳痰不爽,咳喘不利,A
组成中含有滋养、镇摄、潜阳、酸敛等多类药的方剂是,大秦艽汤,回阳救急汤,大定风珠,朱砂安神丸,当归六黄汤,C
不含有“去性存用”配伍的方剂是,半夏泻心汤,竹叶石膏汤,温脾汤,附子大黄汤,麦门冬汤,A
配伍中含有“寓升于降”原理的方剂是,黄龙汤,大承气汤,补中益气汤,苏子降气汤,旋覆代赭汤,A
配伍中含有“寓降于升”原理的方剂是,补中益气汤,川芎茶调散,九味羌活汤,黄连解毒汤,济川煎,B
配伍中含有“寓散于敛”原理的方剂是,生脉散,四神丸,玉屏风散,小青龙汤,金锁固精丸,C
配伍中含有“寓敛于散”原理的方剂是,麻黄汤,川芎茶调散,牡蛎散,桂枝汤,生脉散,D
配伍中含有“寓泻于补”原理的方剂是,新加黄龙汤,六味地黄丸,左归丸,凉膈散,半夏泻心汤,B
配伍中含有“寓补于泻”原理的方剂是,小承气汤,葛根芩连汤,真人养脏汤,痛泻要方,十枣汤,E
制方涉及“益火之源，以消阴翳”原理的方剂是,四逆汤,理中汤,肾气丸,六味地黄丸,大补阴丸,C
制方中蕴含“清金泻木”原理的方剂是,左金丸,苇茎汤,补肺阿胶汤,泻白散,一贯煎,E
制方中蕴含“培土生金”原理的方剂是,八珍汤,补中益气汤,肾气丸,参苓白术散,咳血方,D
制方中蕴含“滋水涵木”原理的方剂是,大补阴丸,右归丸,镇肝熄风汤,天台乌药散,逍遥散,C
制方中蕴含“扶土抑木”原理的方剂是,参苓白术散,痛泻要方,柴胡疏肝散,杞菊地黄丸,健脾丸,B
制方中蕴含“滋水泻火”原理的方剂是,导赤散,黄连解毒汤,桑螵蛸散,百合固金汤,增液汤,A
制方不涉及“金水相生”原理的方剂是,麦味地黄丸,百合固金汤,养阴清肺汤,月华丸,一贯煎,E
下列表述中正确的项是,治疗外感凉燥和外感风寒证在组方用药上应有所不同,辛凉解表方中不能配伍辛温解表药,补血方常配补气药，但补气方不宜配用补血药,滋阴方左归丸在配伍上较六味地黄丸更合理,固涩方均以固涩药为方中君药,A
下列表述中不正确的项是,连翘在保和丸中的配伍意义是泻火解毒,升麻在清胃散中的配伍意义包括升阳散火,五子润肠丸中陈皮的配伍意义是理气行滞,小柴胡汤中人参的配伍意义是实脾祛邪,血府逐瘀汤中的牛膝配伍意义是祛瘀下行,A
旋覆花、代赭石在旋覆代赭汤中的配伍意义是,温胃化痰止呕,平冲降逆止呕,祛痰降逆和胃,镇冲逆除噫气,化痰消食和胃,C
