0,某女，25岁。腹胀，腰痛溶溶如坐水中，带下赤白。临床诊断最可能是,冲脉病证,任脉病证,督脉病证,带脉病证,以上都不是,D,A
1,患者心烦不得卧，口燥咽干，舌尖红，脉细数。其诊断是,太阴病证,厥阴病证,少阳病证,少阴热化证,少阴寒化证,D,A
2,某女，36岁。饥不欲食，面如漆柴，咳唾有血，善恐，心惕惕如人将捕之。临床诊断最可能是,手少阴心经病证,手太阴肺经病证,手厥阴心包经病证,足少阴肾经病证,足阳明胃经病证,D,A
3,某女，42岁。胸中烦热，口苦咽干，腹痛喜暖，大便稀溏。临床诊断最可能是,真寒假热证,真热假寒证,上热下寒证,表实里虚证,表热里寒证,A,A
4,某男，35岁。长期胃脘隐痛、喜温喜按，面白，神疲乏力，近日伴见鼻流清涕，微热，恶风。临床诊断最可能是,实中夹虚证,虚中夹实证,虚实并重证,里虚证,里实证,B,A
5,患者，男，40岁。身热不扬，汗出不畅，午后热甚，头身困重，小溲黄浊，舌苔黄腻，脉濡数。其发热属于,阳明经热,阴虚潮热,湿温潮热,阳明潮热,气虚发热,C,A
6,某男，65岁。肝硬化已3年，现腹胀如鼓，四肢消瘦，神疲乏力。临床诊断最可能是,虚中夹实证,实中夹虚证,虚实并重证,里实证,里虚证,C,A
7,某女，49岁。心悸，胸闷，气短3年，近日心前区刺痛，痛引左肩部、舌紫暗，脉涩。临床诊断最可能是,气滞血瘀证,气虚血瘀证,气虚证,血瘀证,气血两虚证,B,A
8,某男，58岁。胸胁胀满，咳唾引痛，舌苔白滑，脉弦。临床诊断最可能是,饮停于肺证,饮停胸胁证,痰湿阻肺证,肝气郁结证,寒邪客肺证,B,A
9,某男，43岁。胃脘胀满，口渴欲饮，水人则吐，胃中有振水声，苔白滑，脉弦，临床诊断最可能是,饮停于胃证,胃寒证,脾阳虚证,脾虚湿阻证,寒湿困脾证,A,A
10,某男，36岁。患胃病多年，今晚突然大量吐血，面唇俱白，冷汗淋漓，呼吸微弱，神志欠清，舌淡，脉浮大而散。临床诊断最可能是,气不摄血证,气血两虚证,气随血脱证,亡阳证,亡阴证,C,A
11,某女，32岁。近日头胀痛，身重瘦楚，发热，舌苔白滑，脉濡。临床诊断最可能是,湿淫证,暑淫证,风寒证,风湿证,暑温证,A,A
12,患者，女，24岁，已婚。闭经7个月，形体肥胖，胸胁满闷，呕恶痰多，面浮肿，舌淡苔白腻，脉沉滑。其证候是,肝肾不足,气血虚弱,痰湿阻滞,肝血不足,肺。肾阴虚,C,A
13,某男，8岁。3天前发热恶风，咽痛，今天面部及眼泡浮肿，小便黄少，苔薄白，脉浮数。临床诊断最可能是,脾虚湿阻证,阴水证,风水相搏证,肾虚水泛证,水湿困脾证,C,A
14,患者，女，28岁。3年来妊娠4次，均不足3个月而流产，伴带下清稀，腰部疫痛，舌淡苔白，脉弱。其证候是,肾气不固,肾精不足,肾阳虚,肝郁脾虚,脾阳虚,A,A
15,某女，19岁。每至经前一天开始小腹绞痛，经行第二天，下大量紫暗血块后，痛则缓解。舌淡苔白，脉弦迟。临床诊断最可能是,气滞血瘀证,寒凝血瘀证,肾阳虚证,冲任虚寒证,血瘀证,B,A
16,某男，29岁。身热，恶风汗出，口渴咽痛，鼻唇俱干，干咳无痰，舌苔黄干，脉浮数。临床诊断最可能是,温燥证,凉燥证,风热犯肺证,热邪壅肺证,肺阴虚证,A,A
17,某男，65岁。咳喘无力、痰清稀，心悸，胸闷气短，舌淡苔白，脉弱。临床诊断最可能是,肾不纳气证,肺气虚证,心肾阳虚证,心肺气虚证,心气虚证,D,A
18,某女，75岁。嗜睡，身疲乏力、畏寒肢冷，心悸，夜尿频多，舌淡嫩苔白，脉沉迟无力。临床诊断最可能是,脾阳虚证,心阳虚证,肾阳虚证,心肾阳虚证,湿困脾证,D,A
19,某男，66岁。咳喘无力，痰清稀，纳呆，腹胀，气短乏力，舌淡，脉弱。临床诊断最可能是,肺气虚证,脾气虚证,脾肺气虚证,肺肾气虚证,脾肾气虚证,C,A
20,某男，68岁。眩晕欲仆，语言謇涩，肢体麻木，舌绛苔少，脉弦数。临床诊断最可能是,肝阳上亢证,肝阳化风证,阴虚动风证,风痰阻络证,肝阴虚证,B,A
21,某男，28岁。结婚3年，女方从未受孕，经化验为“精子数量极少”。性生活正常，无任何不适感，舌脉正常。临床诊断最可能是,肾阳虚证,肾阴虚证,肾精不足证,肾气虚证,肾不纳气证,C,A
22,下列哪项不是胃气上逆的表现,干呕,嗳气,恶心,呃逆,太息,E,A
23,厌食油腻厚味，多见于,肝脾不调,肝胃不和,肝胆湿热,脾胃虚弱,脾湿不运,C,A
24,中医诊断学的基本内容是,四诊合参,整体观念,诊法与辨证,辨证求因和审因论治,辨病与辨证相结合,C,A
25,望神最主要的是观察,眼神变化,精神状态,面部表情,反应灵敏,语言气息,A,A
26,以下不属得神表现的为,目光精彩,神志清楚,形丰色荣,颧赤如妆,呼吸调匀,D,A
27,失神的病人突然神志清醒、语言不休者属,神乱,无神,假神,有神,少神,C,A
28,癫病的主要病机为,气郁化火，痰火扰心,阳明热盛，扰乱神明,痰气郁结，阻蔽神明,肝风挟痰，蒙蔽清窍,温病热人心包,C,A
29,《灵枢·五色》中的“藩”是指,耳门,眉间,鼻,颊侧,前额,D,A
30,以下所列项目不属白色主病范围者为,夺气,脱血,虚证,寒证,水饮,E,A
31,以下所列项目不属黑色主病范围者为,寒证,气滞,痛证,瘀血,肾虚,B,A
32,以下所列项目不属青色主病范围者为,痛证,惊风,寒证,瘀血,水饮,E,A
33,午后两颧发红者属于,外感风热,真寒假热,阴虚内热,脏腑实热,虚阳上越,C,A
34,形盛气虚者的表现为,肥而食少,胖而能食,形瘦食多,形瘦食少,骨瘦如柴,A,A
35,手足软弱无力、行动不灵而无痛者为,中风后遗症,痫证,痹证,痿证,瘫痪,D,A
36,咽喉漫肿、色淡红者的原因多为,肺胃积热,肾阴不足，虚火上炎,阳虚火浮,痰湿凝聚,气阴两虚，虚火上浮,D,A
37,肝经风热者易出现,眼胞赤烂,目眦红赤,全目赤肿,白睛淡黄,目窠微肿,C,A
38,望神最主要是观察,眼神变化,精神状态,面部表情,反应灵敏,语言气息,A,A
39,解颅是指,囟门下陷,囟门高突,囟门迟闭,头形过小,头面肿胀,C,A
40,咽喉色鲜红娇嫩、肿痛不甚者的原因为,肺胃积热,痰湿停滞,寒凝咽喉,阴虚火旺,胃中有热,D,A
41,牙龈红肿而痛者多属,肝火上炎,脾经有热,胃火上攻,胃阴虚火旺,肾阴虚火旺,C,A
42,以下不属主死的恶色者为,青如草兹,黄如蟹腹,赤如衃血,白如枯骨,黑如炱,B,A
43,脾在五轮学说中为,水轮,风轮,气轮,血轮,肉轮,E,A
44,突然出现片状脱发者为,肾虚,血虚受风,精血不足,阴虚火旺,津液亏损,B,A
45,小儿指纹色紫黑的主病为,热证,外感表证,风证,虚证,血络闭郁,E,A
46,小儿指纹色鲜红的主病为,内热,外感表证,痛证,虚证,血络闭郁,B,A
47,阴囊肿大而透明者为,狐疝,水疝,阴缩,阴茄,寒疝,B,A
48,白痦的出现是由于,湿郁汗出不彻,风热之毒阻于肺胃二经,风湿热邪留于肌肤,湿热火毒内蕴,营血虚而风邪中于经络,A,A
49,小儿囟门高突，多因,温病火邪上攻,脾胃虚寒,肾气不足,吐泻伤津,气血不足,A,A
50,颈侧颌下肿块如垒，累累如串珠者，称为,瘿瘤,痰核,瘰疬,发颐,梅核气,C,A
51,青壮年头发稀疏易落者，多属,精血不足,肾虚或血热,血虚受风,疳积,脾胃虚损,B,A
52,疮疡红肿高大，根盘紧束，焮热疼痛者为,疽,痈,疔,疖,热气疮,B,A
53,痰白而清稀，或有灰黑点者，属,湿痰,寒痰,热痰,燥痰,风痰,B,A
54,下列哪项不属于失神的表现,言语失伦,表情淡漠,倦怠乏力,面色晦暗,反应迟钝,A,A
55,温病病人在热入营分时，舌色应为,红,紫,青,绛,淡白,D,A
56,舌淡紫而湿润者主,气滞血瘀,气虚血瘀,寒凝血瘀,热毒极盛,阴液耗竭,C,A
57,以下项目中不属于病态舌形内容的为,胖大舌,肿胀舌,歪斜舌,点刺舌,裂纹舌,C,A
58,红绛舌，黄瓣苔，多属,湿遏热伏,胃肠燥热内结,阴虚火旺,邪热入营,痰热内阻,B,A
59,舌肿胀而青紫晦暗者，是由于,气血壅滞，将要发斑,心脾有热,湿热痰饮上溢,中毒,热毒炽盛，深入血分,D,A
60,舌淡胖嫩而见苔滑润者，其主病为,湿热不化,痰湿内停,内有食积,阳虚水湿不化,脾虚运化无权,D,A
61,以下项目中不属于望苔质内容者为,真假,润燥,剥落,老嫩,消长,D,A
62,观察舌苔以辨别病邪深浅的主要依据是,舌苔的有无,苔色的黄白,舌苔的有根无根,舌苔的厚薄,舌苔的润燥,D,A
63,气营两燔的舌象为,绛舌黄润苔,红绛舌类干苔,绛舌黏腻苔,绛舌黄白苔,绛舌薄白苔,D,A
64,舌青紫湿润而短缩的主病为,痰浊内阻,寒凝筋脉,肝风内动,热盛伤津动风,风气挟痰,B,A
65,阳热有余，蒸腾胃中腐浊邪气上升可形成,白腻苔,积粉苔,黄腻苔,腐苔,黏腻苔,D,A
66,下列除哪项外，均是舌颤动的病因,气血两虚,亡阳伤津,热极生风,酒毒所伤,心脾有热,E,A
67,舌淡白胖嫩，边有齿痕而又有裂纹者，多属,热盛伤阴,血虚不润,脾虚湿侵,寒湿壅盛,痰浊内阻,D,A
68,舌菌为,舌下血络肿起，好像又生一层小舌,舌上生痈，色红高起肿大,舌上生出豆粒大的紫色血泡，根脚坚硬,舌生疮疡，如粟米大，散在舌四周上下,舌生恶肉，初如豆大，渐渐头大蒂小，好像“泛莲”,E,A
69,腻苔的主要特征为,苔质颗粒细腻致密,苔质颗粒疏松，粗大而厚,舌苔水分过多，扪之湿而滑利,苔质颗粒不清,苔质燥裂如砂石，扪之粗糙,A,A
70,以下项目中不属于异常舌态者为,强硬,痿软,短缩,点刺,歪斜,D,A
71,温病病人在热人营分时，舌色应为,红,紫,青,绛,淡自,D,A
72,嗳气、呃逆、呕吐的病机是,肺气上逆,肝气上逆,胃气上逆,肝郁气滞,脾失健运,C,A
73,胃热病人的口气多为,腥气,酸气,臭秽气,恶臭气,腐臭气,C,A
74,肝气郁结证患者的闻诊特点多为,少气,呃逆,夺气,噫气,太息,E,A
75,恶心呕吐、呃逆嗳气等症频作，其病机是,痰浊上壅,肺气上逆,肝气上逆,胃气上逆,奔豚气逆,D,A
76,消渴病患者病室的气味可为,尸臭味,腐臭味,血腥味,尿臊味,烂苹果样气味,E,A
77,嗳气酸腐的原因为,龋齿,宿食不化,中焦湿热,脾胃虚弱,胃寒,B,A
78,“少气”又称,上气,短气,气微,噫气,哕,C,A
79,燥咳的特点为,咳声紧闷,咳声清脆,咳声重浊,咳声低微,咳声如犬吠,B,A
80,“太息”的病机是,肝气郁结,肝胆湿热,肝气犯胃,肝阴不足,肝火上炎,A,A
81,言语轻迟低微，欲言不能复言者，称为,谵语,郑声,独语,错语,夺气,E,A
82,神识不清，语无伦次，声高有力，称为,谵语,郑声,独语,错语,夺气,A,A
83,两侧头痛属于,厥阴经,太阳经,阳明经,少阳经,太阴经,D,A
84,多食易饥，兼见大便溏泻者属,脾胃湿热,胃阴不足,胃火亢盛,胃强脾弱,湿邪困脾,D,A
85,潮热最基本的特征是,低热,五心烦热,身热不扬,按时发热或定时热甚,骨蒸劳热,D,A
86,太阳经头痛的特点为,两侧太阳穴附近痛甚,前额部连及眉棱骨痛,巅顶痛,后头痛连项背,头痛连齿,D,A
87,湿浊内蕴，阳气被遏，可形成,灰苔,黑苔,腐苔,腻苔,花剥苔,D,A
88,金破不鸣的病机为,风寒犯肺,虚火灼肺,肺气不足,风热袭肺,燥邪犯肺,B,A
89,舌苔花剥而兼有白腻苔，多属,胃之气阴两亏,外感热病，湿遏热伏,痰浊未化，正气已伤,阳虚水湿不化,湿浊内蕴，阳气被遏,C,A
90,午后热甚，身热不扬者属,阴虚潮热,湿温潮热,小儿疰夏,阳明潮热,气虚发热,B,A
91,情志郁结不舒所致胸痛的特点是,胸背彻痛,胸痛喘促,胸痛咯血,胸痛走窜,胸部刺痛,D,A
92,小便余沥不尽多属,膀胱湿热,肾不纳气,肾气不固,肾精不足,小肠实热,C,A
93,引起雀目的原因为,肾精不足,心血不足,脾虚,肝虚,肝经风热,D,A
94,阳黄的病机是,风湿内侵,湿热内阻,寒湿困脾,脾虚湿阻,肝胆火盛,B,A
95,因瘀血而引起的疼痛特点为,胀痛,刺痛,窜痛,隐痛,重痛,B,A
96,邪犯阳明经所致之头痛部位为,太阳穴附近,前额部,后头部,巅顶部,头痛连齿,B,A
97,带下量多色白、清稀如涕者，多属,脾虚湿注,湿热下注,肝经郁热,冲任亏虚,肝肾阴虚,A,A
98,经常汗出不止，活动后更甚者为,盗汗,绝汗,自汗,大汗,战汗,C,A
99,口甜而黏腻者，常提示,脾虚湿阻,痰饮内停,饮食停滞,肝胆湿热,脾胃湿热,E,A
100,湿温潮热的特点是,热势较高，日晡为甚,身热不扬，午后热甚,午后低热,夏季长期微热,骨蒸劳热,B,A
101,以下项目中不属实热证的舌象为,舌鲜红起芒刺,苔黄厚干,舌质粗糙,舌淡有齿痕,苔黑燥裂,D,A
102,以下所列项目不属黑色主病范围者为,寒证,气滞,痛证,瘀血,肾虚,B,A
103,以下项目中不属淋证的特征者为,尿痛,尿频,尿多,尿有砂石,尿急,C,A
104,肝气犯胃所致胃脘痛的特点为,隐隐作痛,冷痛喜暖,痛如刀割,胀满疼痛,灼热疼痛,D,A
105,肾虚腰痛的特点为,绵绵作痛，瘦软无力,冷痛沉重，阴雨天加重,痛如针刺，固定不移,痛处游走不定,重痛，活动受限,A,A
106,金实不鸣的原因为,风寒犯肺,虚火灼肺,肺气不足,肺肾阴虚,燥邪犯肺,A,A
107,肩背寒见于,手阳明大肠经病证,手少阳三焦经病证,手太阴肺经病证,手少阴心经病证,手太阳小肠经病证,C,A
108,弱脉与濡脉的共同特征是,沉而无力,浮而无力,脉来空虚无力,细而无力,迟而无力,D,A
109,促脉的特征是,脉来数而时一止，止无定数,脉来缓而时一止，止无定数,脉来一止，止有定数，良久方来,脉来急疾，一息七八至,脉形如豆，滑数有力,A,A
110,下列除哪项外，均有脉率快的特点,数,促,滑,疾,动,A,A
111,以下项目中属于细脉的相似脉者为,微、弱、散脉,濡、弱、伏脉,微、濡、虚脉,虚、弱、微脉,微、弱、濡脉,E,A
112,以下项目中不属于代脉所主病者为,风证,痛证,脏气衰微,七情惊恐,宿食停滞,E,A
113,微脉的脉象特征为,沉细而软,浮细而软,举之无力，按之空虚,浮散无根，至数不齐,极细极软，似有似无,E,A
114,具备沉、实、大、弦、长形象特点的脉是,牢脉,紧脉,芤脉,伏脉,革脉,A,A
115,以下脉象中不主实证者为,紧脉,革脉,结脉,弦脉,滑脉,B,A
116,气分热盛的脉象为,虚数脉,洪数脉,濡数脉,细数脉,浮数脉,B,A
117,缓脉的主病为,水饮,痰证,湿证,食积,气滞,C,A
118,按寸口脉分候脏腑，左关脉可候,心与膻中,肾与小腹,脾与胃,肝、胆与膈,肺与胸中,D,A
119,气滞血瘀可见,虚脉,革脉,长脉,动脉,涩脉,E,A
120,“有根”的脉象是指,不浮不沉,节律一致,不快不慢,和缓有力,尺部沉取应指有力,E,A
121,《濒湖脉学》中记载的脉象有,28种,32种,24种,27种,33种,D,A
122,下列各项不属于弦脉所主的病证是,肝郁,胃热,诸痛,痰饮,疟疾,B,A
123,以下脉象中不易出现于气血两虚证者为,濡脉,弱脉,细脉,涩脉,虚脉,D,A
124,用不轻不重的指力切脉，称为,总按,单按,举,寻,按,D,A
125,解索脉的表现是,脉在筋肉之间，乍疏乍密.如解乱绳状,脉在筋肉间，连连数急，三五不调,脉在皮肤，头定而尾摇,脉在皮肤，如虾游水,脉在皮肤，浮数之极，至数不清,A,A
126,下列除哪项外，均主实证,弦,濡,滑,紧,长,B,A
127,“噫”是指,嗳气,太息,呕吐,喷嚏,呃逆,A,A
128,因血热引起的月经异常应除外,月经先期,色深红,质稠、量多,崩漏,经闭,E,A
129,虚里是指,左乳下心尖搏动处,心下,胃脘,少腹,胁肋,A,A
130,前胸高起，按之气喘者为,肺胀,悬饮,支饮,痰饮,肺痈,A,A
131,受气候的影响，平脉在冬季应,稍弦,稍洪,稍浮,稍沉,稍缓,D,A
132,沉脉类应除外,沉脉,伏脉,牢脉,弱脉,革脉,E,A
133,真脏脉的别名应除外,怪脉,斜飞脉,败脉,死脉,绝脉,B,A
134,数脉类应除外,数脉,促脉,疾脉,动脉,洪脉,E,A
135,腹部肿块，痛无定处，而按之无形者，为,聚,癓,积,虫积,臌胀,A,A
136,左少腹作痛，按之累累有硬块者为,虫积,肠痈,肠中有宿粪,癓积,痞满,C,A
137,阳虚湿盛的舌象是,舌红苔白滑,舌淡嫩苔白滑,舌边红苔黑润,舌红瘦苔黑,舌绛苔黏腻,B,A
138,我国最早注意病案的记录的医家为,钱乙,淳于意,张子和,喻嘉言,江瓘,B,A
139,少阴病的主要病理特征为,心气不足,阴血不足,心肾虚衰,脾肾阳虚,肺肾两虚,C,A
140,真寒假热证产生的机制是,阳虚则外寒,阴虚则内热,阳盛格阴,阴盛格阳,阴阳转化,D,A
141,督脉病证可出现,鼻塞头痛,下肢厥冷,大人癫疾，小儿风痫,气从少腹上冲胸咽,女子赤白带下,C,A
142,心血虚与心阴虚的共有症是,胸闷气短,头晕目眩，面白无华,五心烦热，潮热盗汗,心悸怔忡，失眠多梦,唇舌淡白，脉细数,D,A
143,表证和里证的主要鉴别要点是,腹泻与便秘,头痛与腹痛,口渴与不渴,有汗与无汗,“寒热同时出现”与“单纯发热或畏寒”,E,A
144,寒热在八纲辨证中用以辨别,病变的性质,病变趋势,病变部位,发病原因,邪正盛衰,A,A
145,气血两虚证的舌象是,舌质淡瘦,舌淡齿痕,舌尖芒刺,舌暗瘀点,舌红裂纹,A,A
146,湿热蕴脾与寒湿困脾两证均可出现,身热不扬,口淡不渴,肢体浮肿,带下色黄而臭秽,面目肌肤发黄,E,A
