0,皇甫谧编著,《黄帝内经》,《针灸甲乙经》,《外台秘要》,《铜人腧穴针灸图经》,《十四经发挥》,B,A
1,滑伯仁编著,《黄帝内经》,《针灸甲乙经》,《外台秘要》,《铜人腧穴针灸图经》,《十四经发挥》,E,D
2,撰写《针灸大成》的是,杨继洲,陈会,徐凤,高武,汪机,A,A
3,著《针灸大全》的是,杨继洲,陈会,徐凤,高武,汪机,C,E
4,与大肠经相表里的经脉是,心经,脾经,肾经,肝经,肺经,E,D
5,与小肠经相表里的经脉是,心经,脾经,肾经,肝经,肺经,A,D
6,与胃经相表里的经脉是,心经,脾经,肾经,肝经,肺经,B,B
7,与胆经相表里的经脉是,心经,脾经,肾经,肝经,肺经,D,D
8,被称作“阴脉之海”的经脉是,督脉,任脉,带脉,冲脉,阴维脉,B,B
9,被称作“阳脉之海”的经脉是,督脉,任脉,带脉,冲脉,阳维脉,A,A
10,足厥阴肝经与手太阴肺经交接于,目内眦,目外眦,心中,胸中,肺中,E,D
11,足少阴肾经与手厥阴心包经交接于,目内眦,目外眦,心中,胸中,肺中,D,C
12,足太阴脾经与手少阴心经交接于,目内眦,目外眦,心中,胸中,肺中,C,C
13,经络系统中，具有保持人体正常运动功能的是,十二经脉,十五络,十二经别,十二经筋,十二皮部,D,A
14,经络系统中，从十二正经离入出合的别行部分是,十二经脉,十五络,十二经别,十二经筋,十二皮部,C,C
15,具有调节全身诸阴经经气作用的经脉是,督脉,任脉,冲脉,带脉,阳维脉,B,B
16,具有涵蓄十二经气血作用的经脉是,督脉,任脉,冲脉,带脉,阳维脉,C,B
17,具有调节全身阳经经气作用的经脉是,督脉,任脉,冲脉,带脉,阳维脉,A,B
18,手阳明大肠经的同名经是,心经,心包经,胆经,脾经,胃经,E,E
19,手太阴肺经的同名经是,心经,心包经,胆经,脾经,胃经,D,B
20,足少阴肾经的同名经是,心经,心包经,胆经,脾经,胃经,A,B
21,足厥阴肝经的同名经是,心经,心包经,胆经,脾经,胃经,B,B
22,在五输穴中，经气所行为,井,荥,输,经,合,D,D
23,在五输穴中，经气所注为,井,荥,输,经,合,C,E
24,在五输穴中，经气所出为,井,荥,输,经,合,A,A
25,在五输穴中，经气所溜为,井,荥,输,经,合,B,B
26,筑宾,阳郄穴,足少阳胆经郄穴,阴维郄穴,手阳明大肠经郄穴,足厥阴肝经郄穴,C,D
27,跗阳,阳郄穴,足少阳胆经郄穴,阴维郄穴,手阳明大肠经郄穴,足厥阴肝经郄穴,A,D
28,横骨上廉至内辅骨上廉的骨度分寸是,12寸,13寸,16寸,18寸,19寸,D,B
29,膝中至外踝尖的骨度分寸是,12寸,13寸,16寸,18寸,19寸,C,A
30,属于腧穴远治作用的例子是,听宫、听会、耳门、皆能治疗耳病,中脘、建里、梁门、皆能治疗胃病,睛明、承泣、四白、皆能治疗眼病,合谷能治疗颈部和头面部病证,至阴能矫正胎位,D,D
31,属于腧穴特殊作用的例子是,听宫、听会、耳门、皆能治疗耳病,中脘、建里、梁门、皆能治疗胃病,睛明、承泣、四白、皆能治疗眼病,合谷能治疗颈部和头面部病证,至阴能矫正胎位,E,A
32,一般临床取穴，肩胛骨下角相当,第7胸椎,第12胸椎,第2腰椎,第4腰椎,第8胸椎,A,E
33,一般临床取穴，髂嵴相当,第7胸椎,第12胸椎,第2腰椎,第4腰椎,第8胸椎,D,C
34,手阳明大肠经的同名经是,心经,心包经,胆经,脾经,胃经,E,E
35,手太阴肺经的同名经是,心经,心包经,胆经,脾经,胃经,D,B
36,足少阴肾经的同名经是,心经,心包经,胆经,脾经,胃经,A,B
37,足厥阴肝经的同名经是,心经,心包经,胆经,脾经,胃经,B,B
38,古代九针中主要用于浅刺皮肤泻血，治头身热症的是,圆利针,针,圆针,锋针,毫针,B,E
39,古代九针中主要用于揩摩体表，治分肉间气滞，不伤肌肉的是,圆利针,针,圆针,锋针,毫针,C,C
40,取头、面、胸、腹部腧穴宜采用,仰卧位,侧卧位,仰靠坐位,俯伏坐位,侧伏坐位,A,B
41,取后头和项、背部的腧穴宜采用,仰卧位,侧卧位,仰靠坐位,俯伏坐位,侧伏坐位,D,A
42,针刺印堂穴时宜选用,指切进针法,夹持进针法,舒张进针法,提捏进针法,单手进针法,E,D
43,针刺环跳穴时宜选用,指切进针法,夹持进针法,舒张进针法,提捏进针法,单手进针法,B,B
44,平刺的角度为,50角左右,150角左右,300角左右,450角左右,600角左右,B,A
45,斜刺的角度为,50角左右,150角左右,300角左右,450角左右,600角左右,D,D
46,用三棱针治中暑时多选用,三棱针腧穴点刺,三棱针刺络,三棱针挑刺,皮肤针局部叩刺,皮内针埋针,B,A
47,治疗慢性顽固性疾病需要久留针时多选用,三棱针腧穴点刺,三棱针刺络,三棱针挑刺,皮肤针局部叩刺,皮内针埋针,E,A
48,治疗顽癣时多选用,三棱针腧穴点刺,三棱针刺络,三棱针挑刺,皮肤针局部叩刺,皮内针埋针,D,D
49,从耳尖直上1.5cm处，向前及向后各引2cm的水平线是,感觉区,舞蹈震颤控制区,晕听区,言语二区,言语三区,C,A
50,在运动区向后移1.5cm的平行线是,感觉区,舞蹈震颤控制区,晕听区,言语二区,言语三区,A,B
51,在运动区向前移1.5cm的平行线是,感觉区,舞蹈震颤控制区,晕听区,言语二区,言语三区,B,B
52,在耳轮脚消失处的耳穴是,指,心,胃,神门,坐骨,C,D
53,在耳轮结节上方，耳舟的顶部的耳穴是,指,心,胃,神门,坐骨,A,D
54,在三角窝的外1/3处，对耳轮上下脚交叉之前的耳穴是,指,心,胃,神门,坐骨,D,D
55,治疗头痛肝阳上亢证，应首选,风池、太冲、合谷、内关、后溪,风池、百会、悬颅、侠溪、行间,上星、头维、合谷，阿是穴,百会、通天、行间、阿是穴,率谷、太阳、侠溪、内庭,B,B
56,治疗前头痛风邪袭络证，应首选,风池、太冲、合谷、内关、后溪,风池、百会、悬颅、侠溪、行间,上星、头维、合谷，阿是穴,百会、通天、行间、阿是穴,率谷、太阳、侠溪、内庭,C,B
57,治疗寒邪内积型腹痛宜取,中脘、期门、内关、足三里、阳陵泉,脾俞、胃俞、中脘、章门、内关、足三里,中脘、神阙、关元、足三里、公孙,脾俞、胃俞、中脘、气海、章门、足三里,中脘、天枢、气海、足三里、内庭,C,B
58,治疗饮食停滞型腹痛宜取,中脘、期门、内关、足三里、阳陵泉,脾俞、胃俞、中脘、章门、内关、足三里,中脘、神阙、关元、足三里、公孙,脾俞、胃俞、中脘、气海、章门、足三里,中脘、天枢、气海、足三里、内庭,E,B
59,足厥阴肝经的郄穴是,地机,中都,外丘,郄门,会宗,B,D
60,手少阳三焦经的郄穴是,地机,中都,外丘,郄门,会宗,E,D
61,治疗疳疾常用的经外奇穴是,四缝,八邪,二白,定喘,太阳,A,A
62,治疗痔疮常用的经外奇穴是,四缝,八邪,二白,定喘,太阳,C,C
63,治疗咽喉疼痛应首选,少商阳,少泽,中冲,隐白,大敦,A,B
64,治疗乳汁缺乏应首选,少商阳,少泽,中冲,隐白,大敦,B,B
65,少商、中冲、少冲、隐白均为,井穴,荥穴,输穴,经穴,合穴,A,A
66,商阳、关冲、少泽、厉兑均为,井穴,荥穴,输穴,经穴,合穴,A,A
67,太渊、大陵、三间、中渚均为,井穴,荥穴,输穴,经穴,合穴,C,D
68,复溜、阳辅、阳溪、中封均为,井穴,荥穴,输穴,经穴,合穴,D,A
69,鱼际、侠溪、足通谷、前谷均为,井穴,荥穴,输穴,经穴,合穴,B,A
70,足窍阴、至阴、涌泉、大敦均为,井穴,荥穴,输穴,经穴,合穴,A,A
71,曲池、天井、阴陵泉、阳陵泉均为,井穴,荥穴,输穴,经穴,合穴,E,E
72,灵道、解溪、昆仑、阳辅均为,井穴,荥穴,输穴,经穴,合穴,D,D
73,曲泽、少海、曲泉、阴谷均为,井穴,荥穴,输穴,经穴,合穴,E,E
74,小海、委中、尺泽、足三里均为,井穴,荥穴,输穴,经穴,合穴,E,D
75,日月、石门、中极、关元,原穴,络穴,俞穴,募穴,下合穴,D,C
76,腕骨、冲阳、大陵、京骨,原穴,络穴,俞穴,募穴,下合穴,A,A
77,委阳、足三里、上巨虚、委中,原穴,络穴,俞穴,募穴,下合穴,E,A
78,蠡沟、支正、飞扬、大钟,原穴,络穴,俞穴,募穴,下合穴,B,A
79,中府、巨阙、期门、膻中,原穴,络穴,俞穴,募穴,下合穴,D,C
80,列缺、通里、偏历、光明,原穴,络穴,俞穴,募穴,下合穴,B,C
81,筑宾,阳跷郄穴,足少阳胆经郄穴,阴维郄穴,手阳明大肠经郄穴,足厥阴肝经郄穴,C,D
82,跗阳,阳跷郄穴,足少阳胆经郄穴,阴维郄穴,手阳明大肠经郄穴,足厥阴肝经郄穴,A,D
83,温溜,阳跷郄穴,足少阳胆经郄穴,阴维郄穴,手阳明大肠经郄穴,足厥阴肝经郄穴,D,D
84,中都,阳跷郄穴,足少阳胆经郄穴,阴维郄穴,手阳明大肠经郄穴,足厥阴肝经郄穴,E,D
85,审之阴阳，刺之有方，得病所始.刺之有理,《灵枢·寿夭刚柔》,《素问·阴阳应象大论》,《灵枢·九针十二原》,《素问·刺要论》,《灵枢·经脉》,A,B
86,病有浮沉，刺有浅深,《灵枢·寿夭刚柔》,《素问·阴阳应象大论》,《灵枢·九针十二原》,《素问·刺要论》,《灵枢·经脉》,D,D
87,公孙加内关治疗胃心胸疾病,本经配穴,表里配穴,前后配穴,八脉交会配穴,左右配穴,D,B
88,中脘、建里、脾俞、脊中治疗胃脘痛,本经配穴,表里配穴,前后配穴,八脉交会配穴,左右配穴,C,A
89,公孙加内关治疗胃心胸疾病,本经配穴,表里配穴,前后配穴,八脉交会配穴,左右配穴,D,B
90,中脘、建里、脾俞、脊中治疗胃脘疾病,本经配穴,表里配穴,前后配穴,八脉交会配穴,左右配穴,C,B
91,耳屏前，下颌骨髁状突后缘，张口凹陷处(听宫)属,足太阳膀胱经,足少阳胆经,督脉,手少阳三焦经,手太阳小肠经,E,E
92,耳屏间切迹前，下颌骨髁状突后缘，张口有孔(听会)属,足太阳膀胱经,足少阳胆经,督脉,手少阳三焦经,手太阳小肠经,B,E
93,耳屏上切迹前，下颌骨髁状突后缘凹陷中(耳门)属,足太阳膀胱经,足少阳胆经,督脉,手少阳三焦经,手太阳小肠经,D,E
94,耳前鬓发后缘直上，平角处为,翳风,曲鬓,眉冲,头维,上星,B,B
95,前发际正中直上1寸为,翳风,曲鬓,眉冲,头维,上星,E,D
96,乳突前下方，平耳垂后下缘的凹陷中为,翳风,曲鬓,眉冲,头维,上星,A,B
97,攒竹穴直上，入发际为,翳风,曲鬓,眉冲,头维,上星,C,D
98,额角发际直上0.5寸为,翳风,曲鬓,眉冲,头维,上星,D,D
99,脐下2寸为,殷门,章门,关门,石门,郄门,D,D
100,腕横纹上5寸，掌长肌腱与桡侧腕屈肌腱之间为,殷门,章门,关门,石门,郄门,E,D
101,承扶穴与委中穴连线上，承扶穴下6寸为,殷门,章门,关门,石门,郄门,A,D
102,脐上3寸，前正中线旁开2寸为,殷门,章门,关门,石门,郄门,C,D
103,第11肋端为,殷门,章门,关门,石门,郄门,B,D
104,肾经循行,上膝股内前廉,上膝股内后廉,以上循髀阳，出膝外廉,过髀枢，循髀外从后廉,以下髀关……下膝髌中,B,C
105,胃经循行,上膝股内前廉,上膝股内后廉,以上循髀阳，出膝外廉,过髀枢，循髀外从后廉,以下髀关……下膝髌中,E,C
106,胆经循行,上膝股内前廉,上膝股内后廉,以上循髀阳，出膝外廉,过髀枢，循髀外从后廉,以下髀关……下膝髌中,C,C
107,脾经循行,上膝股内前廉,上膝股内后廉,以上循髀阳，出膝外廉,过髀枢，循髀外从后廉,以下髀关……下膝髌中,A,C
108,膀胱经循行,上膝股内前廉,上膝股内后廉,以上循髀阳，出膝外廉,过髀枢，循髀外从后廉,以下髀关……下膝髌中,D,C
109,其支者，从耳后入耳中，出走耳前，过客主人前，交颊，至目锐眦,三焦经循行,小肠经循行,肝经循行,脾经循行,胆经循行,A,E
110,其支者，从耳后入耳中，出走耳前，至目锐眦后……,三焦经循行,小肠经循行,肝经循行,脾经循行,胆经循行,E,E
111,其支者，…从缺盆，循颈，上颊，至目锐眦，却入耳中,三焦经循行,小肠经循行,肝经循行,脾经循行,胆经循行,B,E
112,其支者，别颊上颧，抵鼻，至目内眦，斜络于颧,三焦经循行,小肠经循行,肝经循行,脾经循行,胆经循行,B,C
113,小肠的下合穴位于,小肠经,大肠经,胃经,膀胱经,胆经,C,B
114,大肠的下合穴位于,小肠经,大肠经,胃经,膀胱经,胆经,C,B
115,手背各指缝中的赤白肉际，左右共八穴为,四神聪,四强,八风,八邪,四缝,D,E
116,足背各趾缝端凹陷中，左右共八穴为,四神聪,四强,八风,八邪,四缝,C,D
117,第二、三、四、五指掌面，近端指间关节横纹中点为,四神聪,四强,八风,八邪,四缝,E,E
118,提托穴定位,中极旁3寸,中极旁4寸,关元旁3寸,关元旁4寸,脐旁4寸,D,A
119,子宫穴定位,中极旁3寸,中极旁4寸,关元旁3寸,关元旁4寸,脐旁4寸,A,A
120,络穴主要治疗,五脏六腑病证,表里经脉病证,五脏病证,六腑病证,急性病证,B,A
121,原穴主要治疗,五脏六腑病证,表里经脉病证,五脏病证,六腑病证,急性病证,C,A
122,第5跖趾关节前缘，赤白肉际为,漏谷,合谷,阴谷,率谷,足通谷,E,E
123,内踝高点上6寸，胫骨内侧面后缘为,漏谷,合谷,阴谷,率谷,足通谷,A,B
124,屈膝，胭窝内侧，当半腱肌与半膜肌腱之间为,漏谷,合谷,阴谷,率谷,足通谷,C,C
125,耳尖直上，人发际1.5寸为,漏谷,合谷,阴谷,率谷,足通谷,D,B
126,飞扬定位,屈膝，膝内侧横纹头上方凹陷中,屈膝，胭窝内侧，半腱肌与半膜肌腱之间,外髁高点上7寸，腓骨后缘,外髁高点上7寸，腓骨前缘,外髁高点与跟腱之间凹陷处直上7寸，承山穴外下方,E,B
127,曲泉定位,屈膝，膝内侧横纹头上方凹陷中,屈膝，胭窝内侧，半腱肌与半膜肌腱之间,外髁高点上7寸，腓骨后缘,外髁高点上7寸，腓骨前缘,外髁高点与跟腱之间凹陷处直上7寸，承山穴外下方,A,E
128,阳交定位,屈膝，膝内侧横纹头上方凹陷中,屈膝，胭窝内侧，半腱肌与半膜肌腱之间,外髁高点上7寸，腓骨后缘,外髁高点上7寸，腓骨前缘,外髁高点与跟腱之间凹陷处直上7寸，承山穴外下方,C,B
129,外丘定位,屈膝，膝内侧横纹头上方凹陷中,屈膝，胭窝内侧，半腱肌与半膜肌腱之间,外髁高点上7寸，腓骨后缘,外髁高点上7寸，腓骨前缘,外髁高点与跟腱之间凹陷处直上7寸，承山穴外下方,D,B
130,阴谷定位,屈膝，膝内侧横纹头上方凹陷中,屈膝，胭窝内侧，半腱肌与半膜肌腱之间,外髁高点上7寸，腓骨后缘,外髁高点上7寸，腓骨前缘,外髁高点与跟腱之间凹陷处直上7寸，承山穴外下方,B,B
131,腕横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷中,腕横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷中,腕背横纹中，指总伸肌腱尺侧缘凹陷中,腕背横纹桡侧端，拇短伸肌腱与拇长伸肌腱之间的凹陷中,腕背横纹尺侧端，尺骨茎突前凹陷中,以掌当胸，当尺骨茎突桡侧缘凹陷中,A,C
132,神门定位,腕横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷中,腕背横纹中，指总伸肌腱尺侧缘凹陷中,腕背横纹桡侧端，拇短伸肌腱与拇长伸肌腱之间的凹陷中,腕背横纹尺侧端，尺骨茎突前凹陷中,以掌当胸，当尺骨茎突桡侧缘凹陷中,A,E
133,阳谷定位,腕横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷中,腕背横纹中，指总伸肌腱尺侧缘凹陷中,腕背横纹桡侧端，拇短伸肌腱与拇长伸肌腱之间的凹陷中,腕背横纹尺侧端，尺骨茎突前凹陷中,以掌当胸，当尺骨茎突桡侧缘凹陷中,D,A
134,阳池定位,腕横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷中,腕背横纹中，指总伸肌腱尺侧缘凹陷中,腕背横纹桡侧端，拇短伸肌腱与拇长伸肌腱之间的凹陷中,腕背横纹尺侧端，尺骨茎突前凹陷中,以掌当胸，当尺骨茎突桡侧缘凹陷中,B,A
135,阳溪定位,腕横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷中,腕背横纹中，指总伸肌腱尺侧缘凹陷中,腕背横纹桡侧端，拇短伸肌腱与拇长伸肌腱之间的凹陷中,腕背横纹尺侧端，尺骨茎突前凹陷中,以掌当胸，当尺骨茎突桡侧缘凹陷中,C,C
136,至目外眦，转入耳中的经脉是,足太阳膀胱经,足阳明胃经,足少阳胆经,手少阳三焦经,手太阳小肠经,E,C
137,从耳后，入耳中至目外眦之下的经脉是,足太阳膀胱经,足阳明胃经,足少阳胆经,手少阳三焦经,手太阳小肠经,D,A
138,除哪项外，其余两穴间距均为1.5寸,五处至承光,通天至络却,头维至本神,正营至承灵,目窗至正营,E,B
139,下列穴位定位错误的是,球后穴在眶下缘外1/3与内2/3交界处,夹承浆在承浆穴旁开1寸,牵正穴在耳垂前0.5～1寸处,颈臂穴在锁骨内1/3与外2/3交界处直上1寸,安眠穴在翳风穴与风池穴连线的中点,A,B
140,当脐中下4寸，中极旁开3寸的穴位是,气冲穴,提托穴,子宫穴,冲门穴,急脉穴,C,A
141,下列说法错误的是,十宣位于手十指尖端，距指甲0.1寸,十宣均可用三棱针点刺放血,十二井穴均位于指(趾)端，距甲角0.1寸,十二井穴均可用三棱针点刺放血,十二井穴均属五输穴,C,B
142,位于腕横纹至肘横纹的中点，桡骨与尺骨之间的穴位是,问使,支沟,臂中,四渎,三阳络,C,C
143,下列穴位中治疗胎位不正应首选,足窍阴,厉兑,至阴,隐自,大敦,C,C
144,下列穴位归经错误的是,肩外俞——大肠经,兑端——督脉,阴包——肝经,京门——胆经,腹结——脾经,A,B
145,治疗中风所致口角喁斜，除取地仓、颊车、合谷、内庭外，还应加,人中,翳风,外关,太冲,商丘,D,D
146,有治疗胆道蛔虫作用的穴位是,合谷,禾髎,巨髎,迎香,颧髎,D,A
147,治疗急性泄泻，宜取,脾俞、中脘、章门、足三里,中脘、天枢、上巨虚、阴陵泉,足三里、天枢、命门、关元,脾俞、章门、上巨虚、下巨虚,太溪、肾俞、足三里、天枢,B,C
148,下列穴位中，可治疗痔疮的是,合谷,温溜,承山,委中,丰隆,C,C
149,下列说法正确的是,华佗夹脊穴自第1颈椎至第5腰椎，各椎棘突下旁开0.5寸,华佗夹脊穴自第1颈椎至第4骶椎，各椎棘突下旁开0.5寸,华佗夹脊穴自第1胸椎至第4骶椎，各椎棘突下旁开0.5寸,华佗夹脊穴自第1胸椎至第5腰椎，各椎棘突下旁开0.5寸,华佗夹脊穴共用穴位28对,D,A
150,下列腧穴中不属于小肠经的是,肩贞,臑俞,天宗,曲垣,巨骨,E,E
151,下列腧穴中不是郄穴的是,阴郄,郄门,梁丘,外丘,委中,E,E
152,下列腧穴中不是下合穴的是,足三里,阳陵泉,委中,合阳,委阳,D,C
153,治疗心悸应首选,合谷,尺泽,内关,太冲,劳宫,C,C
154,下列除……外，均为原络配穴,太渊、偏历,阳池、内关,太冲、光明,大钟、京骨,神门、外关,E,B
155,下列腧穴中通于阳跻脉的八脉交会穴是,足临泣,后溪,外关,申脉,列缺,D,A
